#TGICL_NAME	CONTIG_NAME
CL1542Contig1	HCGP-ST-CO_00612
CL1543Contig1	HCGP-ST-CO_00613
CL1544Contig1	HCGP-ST-CO_00614
CL1546Contig1	HCGP-ST-CO_00615
CL1547Contig1	HCGP-ST-CO_00616
CL1548Contig1	HCGP-ST-CO_00617
CL1549Contig1	HCGP-ST-CO_00618
CL154Contig1	HCGP-ST-CO_00619
CL1550Contig1	HCGP-ST-CO_00620
CL1551Contig1	HCGP-ST-CO_00621
CL1552Contig1	HCGP-ST-CO_00622
CL1553Contig1	HCGP-ST-CO_00623
CL1554Contig1	HCGP-ST-CO_00624
CL1555Contig1	HCGP-ST-CO_00625
CL1556Contig1	HCGP-ST-CO_00626
CL1557Contig1	HCGP-ST-CO_00627
CL1558Contig1	HCGP-ST-CO_00628
CL1559Contig1	HCGP-ST-CO_00629
CL155Contig2	HCGP-ST-CO_00630
CL1560Contig1	HCGP-ST-CO_00631
CL1563Contig1	HCGP-ST-CO_00632
CL1564Contig1	HCGP-ST-CO_00633
CL1566Contig1	HCGP-ST-CO_00634
CL1567Contig1	HCGP-ST-CO_00635
CL1568Contig1	HCGP-ST-CO_00636
CL1569Contig1	HCGP-ST-CO_00637
CL156Contig1	HCGP-ST-CO_00638
CL1570Contig1	HCGP-ST-CO_00639
CL1571Contig1	HCGP-ST-CO_00640
CL1572Contig1	HCGP-ST-CO_00641
CL1573Contig1	HCGP-ST-CO_00642
CL1574Contig1	HCGP-ST-CO_00643
CL1575Contig1	HCGP-ST-CO_00644
CL1576Contig1	HCGP-ST-CO_00645
CL1577Contig1	HCGP-ST-CO_00646
CL1578Contig1	HCGP-ST-CO_00647
CL1579Contig1	HCGP-ST-CO_00648
CL157Contig2	HCGP-ST-CO_00649
CL1580Contig1	HCGP-ST-CO_00650
CL1581Contig1	HCGP-ST-CO_00651
CL1582Contig1	HCGP-ST-CO_00652
CL1583Contig1	HCGP-ST-CO_00653
CL1584Contig1	HCGP-ST-CO_00654
CL1586Contig1	HCGP-ST-CO_00655
CL1587Contig1	HCGP-ST-CO_00656
CL1588Contig1	HCGP-ST-CO_00657
CL1589Contig1	HCGP-ST-CO_00658
CL158Contig1	HCGP-ST-CO_00659
CL158Contig2	HCGP-ST-CO_00660
CL1590Contig1	HCGP-ST-CO_00661
CL1591Contig1	HCGP-ST-CO_00662
CL1592Contig1	HCGP-ST-CO_00663
CL1593Contig1	HCGP-ST-CO_00664
CL1594Contig1	HCGP-ST-CO_00665
CL1595Contig1	HCGP-ST-CO_00666
CL1596Contig1	HCGP-ST-CO_00667
CL1597Contig1	HCGP-ST-CO_00668
CL1598Contig1	HCGP-ST-CO_00669
CL1599Contig1	HCGP-ST-CO_00670
CL159Contig1	HCGP-ST-CO_00671
CL15Contig1	HCGP-ST-CO_00672
CL15Contig2	HCGP-ST-CO_00673
CL15Contig3	HCGP-ST-CO_00674
CL15Contig4	HCGP-ST-CO_00675
CL15Contig5	HCGP-ST-CO_00676
CL15Contig6	HCGP-ST-CO_00677
CL15Contig7	HCGP-ST-CO_00678
CL1600Contig1	HCGP-ST-CO_00679
CL1601Contig1	HCGP-ST-CO_00680
CL1602Contig1	HCGP-ST-CO_00681
CL1603Contig1	HCGP-ST-CO_00682
CL1604Contig1	HCGP-ST-CO_00683
CL1605Contig1	HCGP-ST-CO_00684
CL1606Contig1	HCGP-ST-CO_00685
CL1607Contig1	HCGP-ST-CO_00686
CL1608Contig1	HCGP-ST-CO_00687
CL1609Contig1	HCGP-ST-CO_00688
CL1610Contig1	HCGP-ST-CO_00689
CL1611Contig1	HCGP-ST-CO_00690
CL1612Contig1	HCGP-ST-CO_00691
CL1613Contig1	HCGP-ST-CO_00692
CL1614Contig1	HCGP-ST-CO_00693
CL1616Contig1	HCGP-ST-CO_00694
CL1617Contig1	HCGP-ST-CO_00695
CL1618Contig1	HCGP-ST-CO_00696
CL161Contig1	HCGP-ST-CO_00697
CL1620Contig1	HCGP-ST-CO_00698
CL1621Contig1	HCGP-ST-CO_00699
CL1622Contig1	HCGP-ST-CO_00700
CL1623Contig1	HCGP-ST-CO_00701
CL1624Contig1	HCGP-ST-CO_00702
CL1625Contig1	HCGP-ST-CO_00703
CL1626Contig1	HCGP-ST-CO_00704
CL1628Contig1	HCGP-ST-CO_00705
CL1629Contig1	HCGP-ST-CO_00706
CL162Contig1	HCGP-ST-CO_00707
CL162Contig2	HCGP-ST-CO_00708
CL1630Contig1	HCGP-ST-CO_00709
CL1631Contig1	HCGP-ST-CO_00710
CL1632Contig1	HCGP-ST-CO_00711
CL1633Contig1	HCGP-ST-CO_00712
CL1634Contig1	HCGP-ST-CO_00713
CL1635Contig1	HCGP-ST-CO_00714
CL1636Contig1	HCGP-ST-CO_00715
CL1638Contig1	HCGP-ST-CO_00716
CL1639Contig1	HCGP-ST-CO_00717
CL163Contig1	HCGP-ST-CO_00718
CL1640Contig1	HCGP-ST-CO_00719
CL1641Contig1	HCGP-ST-CO_00720
CL1642Contig1	HCGP-ST-CO_00721
CL1643Contig1	HCGP-ST-CO_00722
CL1644Contig1	HCGP-ST-CO_00723
CL1645Contig1	HCGP-ST-CO_00724
CL1646Contig1	HCGP-ST-CO_00725
CL1647Contig1	HCGP-ST-CO_00726
CL1648Contig1	HCGP-ST-CO_00727
CL1649Contig1	HCGP-ST-CO_00728
CL164Contig1	HCGP-ST-CO_00729
CL1650Contig1	HCGP-ST-CO_00730
CL1651Contig1	HCGP-ST-CO_00731
CL1652Contig1	HCGP-ST-CO_00732
CL1653Contig1	HCGP-ST-CO_00733
CL1654Contig1	HCGP-ST-CO_00734
CL1655Contig1	HCGP-ST-CO_00735
CL1656Contig1	HCGP-ST-CO_00736
CL1658Contig1	HCGP-ST-CO_00737
CL1659Contig1	HCGP-ST-CO_00738
CL165Contig1	HCGP-ST-CO_00739
CL165Contig3	HCGP-ST-CO_00740
CL1661Contig1	HCGP-ST-CO_00741
CL1662Contig1	HCGP-ST-CO_00742
CL1663Contig1	HCGP-ST-CO_00743
CL1664Contig1	HCGP-ST-CO_00744
CL1665Contig1	HCGP-ST-CO_00745
CL1666Contig1	HCGP-ST-CO_00746
CL1667Contig1	HCGP-ST-CO_00747
CL1668Contig1	HCGP-ST-CO_00748
CL1669Contig1	HCGP-ST-CO_00749
CL166Contig1	HCGP-ST-CO_00750
CL166Contig2	HCGP-ST-CO_00751
CL1670Contig1	HCGP-ST-CO_00752
CL1671Contig1	HCGP-ST-CO_00753
CL1672Contig1	HCGP-ST-CO_00754
CL1673Contig1	HCGP-ST-CO_00755
CL1674Contig1	HCGP-ST-CO_00756
CL1675Contig1	HCGP-ST-CO_00757
CL1676Contig1	HCGP-ST-CO_00758
CL1677Contig1	HCGP-ST-CO_00759
CL1678Contig1	HCGP-ST-CO_00760
CL1679Contig1	HCGP-ST-CO_00761
CL167Contig1	HCGP-ST-CO_00762
CL167Contig2	HCGP-ST-CO_00763
CL1680Contig1	HCGP-ST-CO_00764
CL1681Contig1	HCGP-ST-CO_00765
CL1683Contig1	HCGP-ST-CO_00766
CL1684Contig1	HCGP-ST-CO_00767
CL1685Contig1	HCGP-ST-CO_00768
CL1686Contig1	HCGP-ST-CO_00769
CL1687Contig1	HCGP-ST-CO_00770
CL1688Contig1	HCGP-ST-CO_00771
CL1689Contig1	HCGP-ST-CO_00772
CL168Contig1	HCGP-ST-CO_00773
CL1690Contig1	HCGP-ST-CO_00774
CL1691Contig1	HCGP-ST-CO_00775
CL1692Contig1	HCGP-ST-CO_00776
CL1694Contig1	HCGP-ST-CO_00777
CL1695Contig1	HCGP-ST-CO_00778
CL1696Contig1	HCGP-ST-CO_00779
CL1697Contig1	HCGP-ST-CO_00780
CL1698Contig1	HCGP-ST-CO_00781
CL16Contig1	HCGP-ST-CO_00782
CL16Contig10	HCGP-ST-CO_00783
CL16Contig11	HCGP-ST-CO_00784
CL16Contig12	HCGP-ST-CO_00785
CL16Contig13	HCGP-ST-CO_00786
CL16Contig14	HCGP-ST-CO_00787
CL16Contig15	HCGP-ST-CO_00788
CL16Contig16	HCGP-ST-CO_00789
CL16Contig17	HCGP-ST-CO_00790
CL16Contig18	HCGP-ST-CO_00791
CL16Contig2	HCGP-ST-CO_00792
CL16Contig3	HCGP-ST-CO_00793
CL16Contig4	HCGP-ST-CO_00794
CL16Contig5	HCGP-ST-CO_00795
CL16Contig6	HCGP-ST-CO_00796
CL16Contig7	HCGP-ST-CO_00797
CL16Contig8	HCGP-ST-CO_00798
CL16Contig9	HCGP-ST-CO_00799
CL1700Contig1	HCGP-ST-CO_00800
CL1702Contig1	HCGP-ST-CO_00801
CL1703Contig1	HCGP-ST-CO_00802
CL1704Contig1	HCGP-ST-CO_00803
CL1705Contig1	HCGP-ST-CO_00804
CL1706Contig1	HCGP-ST-CO_00805
CL1707Contig1	HCGP-ST-CO_00806
CL1708Contig1	HCGP-ST-CO_00807
CL1709Contig1	HCGP-ST-CO_00808
CL170Contig1	HCGP-ST-CO_00809
CL170Contig2	HCGP-ST-CO_00810
CL1710Contig1	HCGP-ST-CO_00811
CL1711Contig1	HCGP-ST-CO_00812
CL1712Contig1	HCGP-ST-CO_00813
CL1713Contig1	HCGP-ST-CO_00814
CL1714Contig1	HCGP-ST-CO_00815
CL1715Contig1	HCGP-ST-CO_00816
CL1716Contig1	HCGP-ST-CO_00817
CL1717Contig1	HCGP-ST-CO_00818
CL1718Contig1	HCGP-ST-CO_00819
CL1719Contig1	HCGP-ST-CO_00820
CL171Contig1	HCGP-ST-CO_00821
CL1720Contig1	HCGP-ST-CO_00822
CL1721Contig1	HCGP-ST-CO_00823
CL1722Contig1	HCGP-ST-CO_00824
CL1723Contig1	HCGP-ST-CO_00825
CL1725Contig1	HCGP-ST-CO_00826
CL1726Contig1	HCGP-ST-CO_00827
CL1727Contig1	HCGP-ST-CO_00828
CL1728Contig1	HCGP-ST-CO_00829
CL1729Contig1	HCGP-ST-CO_00830
CL172Contig1	HCGP-ST-CO_00831
CL1730Contig1	HCGP-ST-CO_00832
CL1732Contig1	HCGP-ST-CO_00833
CL1734Contig1	HCGP-ST-CO_00834
CL1736Contig1	HCGP-ST-CO_00835
CL1737Contig1	HCGP-ST-CO_00836
CL1738Contig1	HCGP-ST-CO_00837
CL1739Contig1	HCGP-ST-CO_00838
CL173Contig1	HCGP-ST-CO_00839
CL1740Contig1	HCGP-ST-CO_00840
CL1741Contig1	HCGP-ST-CO_00841
CL1742Contig1	HCGP-ST-CO_00842
CL1743Contig1	HCGP-ST-CO_00843
CL1744Contig1	HCGP-ST-CO_00844
CL1745Contig1	HCGP-ST-CO_00845
CL1746Contig1	HCGP-ST-CO_00846
CL1747Contig1	HCGP-ST-CO_00847
CL1748Contig1	HCGP-ST-CO_00848
CL1749Contig1	HCGP-ST-CO_00849
CL174Contig1	HCGP-ST-CO_00850
CL1750Contig1	HCGP-ST-CO_00851
CL1752Contig1	HCGP-ST-CO_00852
CL1753Contig1	HCGP-ST-CO_00853
CL1754Contig1	HCGP-ST-CO_00854
CL1755Contig1	HCGP-ST-CO_00855
CL1757Contig1	HCGP-ST-CO_00856
CL1758Contig1	HCGP-ST-CO_00857
CL175Contig1	HCGP-ST-CO_00858
CL1760Contig1	HCGP-ST-CO_00859
CL1761Contig1	HCGP-ST-CO_00860
CL1762Contig1	HCGP-ST-CO_00861
CL1763Contig1	HCGP-ST-CO_00862
CL1764Contig1	HCGP-ST-CO_00863
CL1766Contig1	HCGP-ST-CO_00864
CL1768Contig1	HCGP-ST-CO_00865
CL1769Contig1	HCGP-ST-CO_00866
CL176Contig1	HCGP-ST-CO_00867
CL1770Contig1	HCGP-ST-CO_00868
CL1771Contig1	HCGP-ST-CO_00869
CL1772Contig1	HCGP-ST-CO_00870
CL1773Contig1	HCGP-ST-CO_00871
CL1774Contig1	HCGP-ST-CO_00872
CL1776Contig1	HCGP-ST-CO_00873
CL1778Contig1	HCGP-ST-CO_00874
CL177Contig1	HCGP-ST-CO_00875
CL177Contig2	HCGP-ST-CO_00876
CL177Contig3	HCGP-ST-CO_00877
CL177Contig4	HCGP-ST-CO_00878
CL1780Contig1	HCGP-ST-CO_00879
CL1781Contig1	HCGP-ST-CO_00880
CL1783Contig1	HCGP-ST-CO_00881
CL1784Contig1	HCGP-ST-CO_00882
CL1785Contig1	HCGP-ST-CO_00883
CL1786Contig1	HCGP-ST-CO_00884
CL1787Contig1	HCGP-ST-CO_00885
CL1788Contig1	HCGP-ST-CO_00886
CL1789Contig1	HCGP-ST-CO_00887
CL178Contig1	HCGP-ST-CO_00888
CL1790Contig1	HCGP-ST-CO_00889
CL1791Contig1	HCGP-ST-CO_00890
CL1792Contig1	HCGP-ST-CO_00891
CL1793Contig1	HCGP-ST-CO_00892
CL1794Contig1	HCGP-ST-CO_00893
CL1795Contig1	HCGP-ST-CO_00894
CL1796Contig1	HCGP-ST-CO_00895
CL1797Contig1	HCGP-ST-CO_00896
CL1798Contig1	HCGP-ST-CO_00897
CL1799Contig1	HCGP-ST-CO_00898
CL179Contig1	HCGP-ST-CO_00899
CL17Contig1	HCGP-ST-CO_00900
CL17Contig2	HCGP-ST-CO_00901
CL1800Contig1	HCGP-ST-CO_00902
CL1801Contig1	HCGP-ST-CO_00903
CL1804Contig1	HCGP-ST-CO_00904
CL1805Contig1	HCGP-ST-CO_00905
CL1806Contig1	HCGP-ST-CO_00906
CL1807Contig1	HCGP-ST-CO_00907
CL1808Contig1	HCGP-ST-CO_00908
CL1809Contig1	HCGP-ST-CO_00909
CL180Contig1	HCGP-ST-CO_00910
CL1811Contig1	HCGP-ST-CO_00911
CL1812Contig1	HCGP-ST-CO_00912
CL1813Contig1	HCGP-ST-CO_00913
CL1814Contig1	HCGP-ST-CO_00914
CL1815Contig1	HCGP-ST-CO_00915
CL1816Contig1	HCGP-ST-CO_00916
CL1817Contig1	HCGP-ST-CO_00917
CL1818Contig1	HCGP-ST-CO_00918
CL1819Contig1	HCGP-ST-CO_00919
CL181Contig1	HCGP-ST-CO_00920
CL1820Contig1	HCGP-ST-CO_00921
CL1822Contig1	HCGP-ST-CO_00922
CL1823Contig1	HCGP-ST-CO_00923
CL1824Contig1	HCGP-ST-CO_00924
CL1825Contig1	HCGP-ST-CO_00925
CL1826Contig1	HCGP-ST-CO_00926
CL1828Contig1	HCGP-ST-CO_00927
CL1829Contig1	HCGP-ST-CO_00928
CL182Contig1	HCGP-ST-CO_00929
CL1830Contig1	HCGP-ST-CO_00930
CL1831Contig1	HCGP-ST-CO_00931
CL1833Contig1	HCGP-ST-CO_00932
CL1834Contig1	HCGP-ST-CO_00933
CL1836Contig1	HCGP-ST-CO_00934
CL1838Contig1	HCGP-ST-CO_00935
CL1839Contig1	HCGP-ST-CO_00936
CL183Contig1	HCGP-ST-CO_00937
CL1840Contig1	HCGP-ST-CO_00938
CL1841Contig1	HCGP-ST-CO_00939
CL1842Contig1	HCGP-ST-CO_00940
CL1843Contig1	HCGP-ST-CO_00941
CL1845Contig1	HCGP-ST-CO_00942
CL1846Contig1	HCGP-ST-CO_00943
CL1847Contig1	HCGP-ST-CO_00944
CL1848Contig1	HCGP-ST-CO_00945
CL1849Contig1	HCGP-ST-CO_00946
CL184Contig1	HCGP-ST-CO_00947
CL1850Contig1	HCGP-ST-CO_00948
CL1851Contig1	HCGP-ST-CO_00949
CL1852Contig1	HCGP-ST-CO_00950
CL1853Contig1	HCGP-ST-CO_00951
CL1854Contig1	HCGP-ST-CO_00952
CL1856Contig1	HCGP-ST-CO_00953
CL1857Contig1	HCGP-ST-CO_00954
CL1858Contig1	HCGP-ST-CO_00955
CL1859Contig1	HCGP-ST-CO_00956
CL185Contig1	HCGP-ST-CO_00957
CL185Contig2	HCGP-ST-CO_00958
CL1860Contig1	HCGP-ST-CO_00959
CL1861Contig1	HCGP-ST-CO_00960
CL1862Contig1	HCGP-ST-CO_00961
CL1864Contig1	HCGP-ST-CO_00962
CL1865Contig1	HCGP-ST-CO_00963
CL1866Contig1	HCGP-ST-CO_00964
CL1867Contig1	HCGP-ST-CO_00965
CL1868Contig1	HCGP-ST-CO_00966
CL1869Contig1	HCGP-ST-CO_00967
CL186Contig1	HCGP-ST-CO_00968
CL1870Contig1	HCGP-ST-CO_00969
CL1871Contig1	HCGP-ST-CO_00970
CL1873Contig1	HCGP-ST-CO_00971
CL1875Contig1	HCGP-ST-CO_00972
CL1876Contig1	HCGP-ST-CO_00973
CL1877Contig1	HCGP-ST-CO_00974
CL1878Contig1	HCGP-ST-CO_00975
CL1880Contig1	HCGP-ST-CO_00976
CL1881Contig1	HCGP-ST-CO_00977
CL1882Contig1	HCGP-ST-CO_00978
CL1883Contig1	HCGP-ST-CO_00979
CL1884Contig1	HCGP-ST-CO_00980
CL1885Contig1	HCGP-ST-CO_00981
CL1886Contig1	HCGP-ST-CO_00982
CL1888Contig1	HCGP-ST-CO_00983
CL188Contig1	HCGP-ST-CO_00984
CL1890Contig1	HCGP-ST-CO_00985
CL1892Contig1	HCGP-ST-CO_00986
CL1894Contig1	HCGP-ST-CO_00987
CL1895Contig1	HCGP-ST-CO_00988
CL1896Contig1	HCGP-ST-CO_00989
CL1897Contig1	HCGP-ST-CO_00990
CL1898Contig1	HCGP-ST-CO_00991
CL1899Contig1	HCGP-ST-CO_00992
CL189Contig1	HCGP-ST-CO_00993
CL18Contig1	HCGP-ST-CO_00994
CL18Contig2	HCGP-ST-CO_00995
CL18Contig3	HCGP-ST-CO_00996
CL1900Contig1	HCGP-ST-CO_00997
CL1901Contig1	HCGP-ST-CO_00998
CL1902Contig1	HCGP-ST-CO_00999
CL1903Contig1	HCGP-ST-CO_01000
CL1904Contig1	HCGP-ST-CO_01001
CL1905Contig1	HCGP-ST-CO_01002
CL1906Contig1	HCGP-ST-CO_01003
CL1907Contig1	HCGP-ST-CO_01004
CL1908Contig1	HCGP-ST-CO_01005
CL1909Contig1	HCGP-ST-CO_01006
CL190Contig1	HCGP-ST-CO_01007
CL190Contig2	HCGP-ST-CO_01008
CL1910Contig1	HCGP-ST-CO_01009
CL1911Contig1	HCGP-ST-CO_01010
CL1912Contig1	HCGP-ST-CO_01011
CL1913Contig1	HCGP-ST-CO_01012
CL1914Contig1	HCGP-ST-CO_01013
CL1915Contig1	HCGP-ST-CO_01014
CL1917Contig1	HCGP-ST-CO_01015
CL1918Contig1	HCGP-ST-CO_01016
CL1919Contig1	HCGP-ST-CO_01017
CL191Contig1	HCGP-ST-CO_01018
CL1920Contig1	HCGP-ST-CO_01019
CL1921Contig1	HCGP-ST-CO_01020
CL1922Contig1	HCGP-ST-CO_01021
CL1923Contig1	HCGP-ST-CO_01022
CL1924Contig1	HCGP-ST-CO_01023
CL1925Contig1	HCGP-ST-CO_01024
CL1926Contig1	HCGP-ST-CO_01025
CL1927Contig1	HCGP-ST-CO_01026
CL1928Contig1	HCGP-ST-CO_01027
CL1929Contig1	HCGP-ST-CO_01028
CL192Contig1	HCGP-ST-CO_01029
CL1930Contig1	HCGP-ST-CO_01030
CL1931Contig1	HCGP-ST-CO_01031
CL1932Contig1	HCGP-ST-CO_01032
CL1933Contig1	HCGP-ST-CO_01033
CL1934Contig1	HCGP-ST-CO_01034
CL1935Contig1	HCGP-ST-CO_01035
CL1936Contig1	HCGP-ST-CO_01036
CL1938Contig1	HCGP-ST-CO_01037
CL1939Contig1	HCGP-ST-CO_01038
CL193Contig1	HCGP-ST-CO_01039
CL193Contig2	HCGP-ST-CO_01040
CL1940Contig1	HCGP-ST-CO_01041
CL1941Contig1	HCGP-ST-CO_01042
CL1942Contig1	HCGP-ST-CO_01043
CL1944Contig1	HCGP-ST-CO_01044
CL1947Contig1	HCGP-ST-CO_01045
CL1949Contig1	HCGP-ST-CO_01046
CL194Contig1	HCGP-ST-CO_01047
CL194Contig2	HCGP-ST-CO_01048
CL1950Contig1	HCGP-ST-CO_01049
CL1952Contig1	HCGP-ST-CO_01050
CL1953Contig1	HCGP-ST-CO_01051
CL1954Contig1	HCGP-ST-CO_01052
CL1955Contig1	HCGP-ST-CO_01053
CL1956Contig1	HCGP-ST-CO_01054
CL1957Contig1	HCGP-ST-CO_01055
CL1958Contig1	HCGP-ST-CO_01056
CL195Contig1	HCGP-ST-CO_01057
CL1961Contig1	HCGP-ST-CO_01058
CL1962Contig1	HCGP-ST-CO_01059
CL1963Contig1	HCGP-ST-CO_01060
CL1969Contig1	HCGP-ST-CO_01061
CL196Contig1	HCGP-ST-CO_01062
CL196Contig2	HCGP-ST-CO_01063
CL1970Contig1	HCGP-ST-CO_01064
CL1974Contig1	HCGP-ST-CO_01065
CL1975Contig1	HCGP-ST-CO_01066
CL1977Contig1	HCGP-ST-CO_01067
CL1978Contig1	HCGP-ST-CO_01068
CL1979Contig1	HCGP-ST-CO_01069
CL197Contig1	HCGP-ST-CO_01070
CL1981Contig1	HCGP-ST-CO_01071
CL1982Contig1	HCGP-ST-CO_01072
CL1983Contig1	HCGP-ST-CO_01073
CL1984Contig1	HCGP-ST-CO_01074
CL1986Contig1	HCGP-ST-CO_01075
CL1987Contig1	HCGP-ST-CO_01076
CL1988Contig1	HCGP-ST-CO_01077
CL1989Contig1	HCGP-ST-CO_01078
CL198Contig1	HCGP-ST-CO_01079
CL1991Contig1	HCGP-ST-CO_01080
CL1993Contig1	HCGP-ST-CO_01081
CL1995Contig1	HCGP-ST-CO_01082
CL1996Contig1	HCGP-ST-CO_01083
CL1997Contig1	HCGP-ST-CO_01084
CL1999Contig1	HCGP-ST-CO_01085
CL199Contig1	HCGP-ST-CO_01086
CL19Contig1	HCGP-ST-CO_01087
CL19Contig2	HCGP-ST-CO_01088
CL1Contig1	HCGP-ST-CO_01089
CL1Contig10	HCGP-ST-CO_01090
CL1Contig100	HCGP-ST-CO_01091
CL1Contig101	HCGP-ST-CO_01092
CL1Contig102	HCGP-ST-CO_01093
CL1Contig103	HCGP-ST-CO_01094
CL1Contig104	HCGP-ST-CO_01095
CL1Contig105	HCGP-ST-CO_01096
CL1Contig106	HCGP-ST-CO_01097
CL1Contig107	HCGP-ST-CO_01098
CL1Contig108	HCGP-ST-CO_01099
CL1Contig109	HCGP-ST-CO_01100
CL1Contig11	HCGP-ST-CO_01101
CL1Contig110	HCGP-ST-CO_01102
CL1Contig111	HCGP-ST-CO_01103
CL1Contig112	HCGP-ST-CO_01104
CL1Contig114	HCGP-ST-CO_01105
CL1Contig115	HCGP-ST-CO_01106
CL1Contig116	HCGP-ST-CO_01107
CL1Contig117	HCGP-ST-CO_01108
CL1Contig118	HCGP-ST-CO_01109
CL1Contig119	HCGP-ST-CO_01110
CL1Contig12	HCGP-ST-CO_01111
CL1Contig120	HCGP-ST-CO_01112
CL1Contig121	HCGP-ST-CO_01113
CL1Contig122	HCGP-ST-CO_01114
CL1Contig123	HCGP-ST-CO_01115
CL1Contig124	HCGP-ST-CO_01116
CL1Contig125	HCGP-ST-CO_01117
CL1Contig126	HCGP-ST-CO_01118
CL1Contig127	HCGP-ST-CO_01119
CL1Contig128	HCGP-ST-CO_01120
CL1Contig129	HCGP-ST-CO_01121
CL1Contig13	HCGP-ST-CO_01122
CL1Contig130	HCGP-ST-CO_01123
CL1Contig131	HCGP-ST-CO_01124
CL1Contig132	HCGP-ST-CO_01125
CL1Contig133	HCGP-ST-CO_01126
CL1Contig134	HCGP-ST-CO_01127
CL1Contig135	HCGP-ST-CO_01128
CL1Contig136	HCGP-ST-CO_01129
CL1Contig137	HCGP-ST-CO_01130
CL1Contig138	HCGP-ST-CO_01131
CL1Contig139	HCGP-ST-CO_01132
CL1Contig14	HCGP-ST-CO_01133
CL1Contig140	HCGP-ST-CO_01134
CL1Contig141	HCGP-ST-CO_01135
CL1Contig142	HCGP-ST-CO_01136
CL1Contig143	HCGP-ST-CO_01137
CL1Contig144	HCGP-ST-CO_01138
CL1Contig145	HCGP-ST-CO_01139
CL1Contig146	HCGP-ST-CO_01140
CL1Contig147	HCGP-ST-CO_01141
CL1Contig148	HCGP-ST-CO_01142
CL1Contig149	HCGP-ST-CO_01143
CL1Contig15	HCGP-ST-CO_01144
CL1Contig150	HCGP-ST-CO_01145
CL1Contig151	HCGP-ST-CO_01146
CL1Contig152	HCGP-ST-CO_01147
CL1Contig153	HCGP-ST-CO_01148
CL1Contig154	HCGP-ST-CO_01149
CL1Contig155	HCGP-ST-CO_01150
CL1Contig156	HCGP-ST-CO_01151
CL1Contig157	HCGP-ST-CO_01152
CL1Contig158	HCGP-ST-CO_01153
CL1Contig159	HCGP-ST-CO_01154
CL1Contig16	HCGP-ST-CO_01155
CL1Contig160	HCGP-ST-CO_01156
CL1Contig161	HCGP-ST-CO_01157
CL1Contig162	HCGP-ST-CO_01158
CL1Contig163	HCGP-ST-CO_01159
CL1Contig164	HCGP-ST-CO_01160
CL1Contig165	HCGP-ST-CO_01161
CL1Contig166	HCGP-ST-CO_01162
CL1Contig167	HCGP-ST-CO_01163
CL1Contig168	HCGP-ST-CO_01164
CL1Contig169	HCGP-ST-CO_01165
CL1Contig17	HCGP-ST-CO_01166
CL1Contig170	HCGP-ST-CO_01167
CL1Contig171	HCGP-ST-CO_01168
CL1Contig172	HCGP-ST-CO_01169
CL1Contig173	HCGP-ST-CO_01170
CL1Contig174	HCGP-ST-CO_01171
CL1Contig175	HCGP-ST-CO_01172
CL1Contig176	HCGP-ST-CO_01173
CL1Contig177	HCGP-ST-CO_01174
CL1Contig178	HCGP-ST-CO_01175
CL1Contig179	HCGP-ST-CO_01176
CL1Contig18	HCGP-ST-CO_01177
CL1Contig180	HCGP-ST-CO_01178
CL1Contig181	HCGP-ST-CO_01179
CL1Contig182	HCGP-ST-CO_01180
CL1Contig183	HCGP-ST-CO_01181
CL1Contig184	HCGP-ST-CO_01182
CL1Contig185	HCGP-ST-CO_01183
CL1Contig186	HCGP-ST-CO_01184
CL1Contig187	HCGP-ST-CO_01185
CL1Contig188	HCGP-ST-CO_01186
CL1Contig189	HCGP-ST-CO_01187
CL1Contig19	HCGP-ST-CO_01188
CL1Contig190	HCGP-ST-CO_01189
CL1Contig191	HCGP-ST-CO_01190
CL1Contig192	HCGP-ST-CO_01191
CL1Contig193	HCGP-ST-CO_01192
CL1Contig194	HCGP-ST-CO_01193
CL1Contig195	HCGP-ST-CO_01194
CL1Contig196	HCGP-ST-CO_01195
CL1Contig197	HCGP-ST-CO_01196
CL1Contig198	HCGP-ST-CO_01197
CL1Contig199	HCGP-ST-CO_01198
CL1Contig2	HCGP-ST-CO_01199
CL1Contig20	HCGP-ST-CO_01200
CL1Contig200	HCGP-ST-CO_01201
CL1Contig201	HCGP-ST-CO_01202
CL1Contig202	HCGP-ST-CO_01203
CL1Contig203	HCGP-ST-CO_01204
CL1Contig204	HCGP-ST-CO_01205
CL1Contig205	HCGP-ST-CO_01206
CL1Contig206	HCGP-ST-CO_01207
CL1Contig207	HCGP-ST-CO_01208
CL1Contig208	HCGP-ST-CO_01209
CL1Contig209	HCGP-ST-CO_01210
CL1Contig21	HCGP-ST-CO_01211
CL1Contig210	HCGP-ST-CO_01212
CL1Contig211	HCGP-ST-CO_01213
CL1Contig212	HCGP-ST-CO_01214
CL1Contig213	HCGP-ST-CO_01215
CL1Contig214	HCGP-ST-CO_01216
CL1Contig215	HCGP-ST-CO_01217
CL1Contig216	HCGP-ST-CO_01218
CL1Contig217	HCGP-ST-CO_01219
CL1Contig218	HCGP-ST-CO_01220
CL1Contig219	HCGP-ST-CO_01221
CL1Contig22	HCGP-ST-CO_01222
CL1Contig220	HCGP-ST-CO_01223
CL1Contig221	HCGP-ST-CO_01224
CL1Contig222	HCGP-ST-CO_01225
CL1Contig223	HCGP-ST-CO_01226
CL1Contig224	HCGP-ST-CO_01227
CL1Contig225	HCGP-ST-CO_01228
