#TGICL_NAME	CONTIG_NAME
CL117Contig1	HCGP-CT-CO_00233
CL1180Contig1	HCGP-CT-CO_00234
CL1181Contig1	HCGP-CT-CO_00235
CL1182Contig1	HCGP-CT-CO_00236
CL1183Contig1	HCGP-CT-CO_00237
CL1184Contig1	HCGP-CT-CO_00238
CL1185Contig1	HCGP-CT-CO_00239
CL1186Contig1	HCGP-CT-CO_00240
CL1187Contig1	HCGP-CT-CO_00241
CL1188Contig1	HCGP-CT-CO_00242
CL1188Contig2	HCGP-CT-CO_00243
CL1189Contig1	HCGP-CT-CO_00244
CL118Contig1	HCGP-CT-CO_00245
CL1190Contig1	HCGP-CT-CO_00246
CL1191Contig1	HCGP-CT-CO_00247
CL1192Contig1	HCGP-CT-CO_00248
CL1193Contig1	HCGP-CT-CO_00249
CL1193Contig2	HCGP-CT-CO_00250
CL1194Contig1	HCGP-CT-CO_00251
CL1195Contig1	HCGP-CT-CO_00252
CL1196Contig1	HCGP-CT-CO_00253
CL1197Contig1	HCGP-CT-CO_00254
CL1198Contig1	HCGP-CT-CO_00255
CL1199Contig1	HCGP-CT-CO_00256
CL119Contig1	HCGP-CT-CO_00257
CL119Contig2	HCGP-CT-CO_00258
CL11Contig1	HCGP-CT-CO_00259
CL11Contig2	HCGP-CT-CO_00260
CL11Contig3	HCGP-CT-CO_00261
CL11Contig4	HCGP-CT-CO_00262
CL11Contig5	HCGP-CT-CO_00263
CL1200Contig1	HCGP-CT-CO_00264
CL1201Contig1	HCGP-CT-CO_00265
CL1202Contig1	HCGP-CT-CO_00266
CL1203Contig1	HCGP-CT-CO_00267
CL1204Contig1	HCGP-CT-CO_00268
CL1205Contig1	HCGP-CT-CO_00269
CL1205Contig2	HCGP-CT-CO_00270
CL1206Contig1	HCGP-CT-CO_00271
CL1207Contig1	HCGP-CT-CO_00272
CL1208Contig1	HCGP-CT-CO_00273
CL1209Contig1	HCGP-CT-CO_00274
CL120Contig1	HCGP-CT-CO_00275
CL120Contig2	HCGP-CT-CO_00276
CL1210Contig1	HCGP-CT-CO_00277
CL1211Contig1	HCGP-CT-CO_00278
CL1211Contig2	HCGP-CT-CO_00279
CL1212Contig1	HCGP-CT-CO_00280
CL1213Contig1	HCGP-CT-CO_00281
CL1214Contig1	HCGP-CT-CO_00282
