#TGICL_NAME	CONTIG_NAME
CL1208Contig1	HCGP-EN-CO_00205
CL1209Contig1	HCGP-EN-CO_00206
CL120Contig1	HCGP-EN-CO_00207
CL1210Contig1	HCGP-EN-CO_00208
CL1211Contig1	HCGP-EN-CO_00209
CL1212Contig1	HCGP-EN-CO_00210
CL1213Contig1	HCGP-EN-CO_00211
CL1214Contig1	HCGP-EN-CO_00212
CL1215Contig1	HCGP-EN-CO_00213
CL1216Contig1	HCGP-EN-CO_00214
CL1217Contig1	HCGP-EN-CO_00215
CL1218Contig1	HCGP-EN-CO_00216
CL1219Contig1	HCGP-EN-CO_00217
CL121Contig1	HCGP-EN-CO_00218
CL1220Contig1	HCGP-EN-CO_00219
CL1221Contig1	HCGP-EN-CO_00220
CL1222Contig1	HCGP-EN-CO_00221
CL1223Contig1	HCGP-EN-CO_00222
CL1224Contig1	HCGP-EN-CO_00223
CL1225Contig1	HCGP-EN-CO_00224
CL1226Contig1	HCGP-EN-CO_00225
CL1227Contig1	HCGP-EN-CO_00226
CL1228Contig1	HCGP-EN-CO_00227
CL1229Contig1	HCGP-EN-CO_00228
CL122Contig1	HCGP-EN-CO_00229
CL1230Contig1	HCGP-EN-CO_00230
CL1231Contig1	HCGP-EN-CO_00231
CL1232Contig1	HCGP-EN-CO_00232
CL1233Contig1	HCGP-EN-CO_00233
CL1234Contig1	HCGP-EN-CO_00234
CL1235Contig1	HCGP-EN-CO_00235
CL1236Contig1	HCGP-EN-CO_00236
CL1237Contig1	HCGP-EN-CO_00237
CL1238Contig1	HCGP-EN-CO_00238
CL1239Contig1	HCGP-EN-CO_00239
CL123Contig1	HCGP-EN-CO_00240
CL1240Contig1	HCGP-EN-CO_00241
CL1241Contig1	HCGP-EN-CO_00242
CL1242Contig1	HCGP-EN-CO_00243
CL1243Contig1	HCGP-EN-CO_00244
CL1244Contig1	HCGP-EN-CO_00245
CL1245Contig1	HCGP-EN-CO_00246
CL1246Contig1	HCGP-EN-CO_00247
CL1247Contig1	HCGP-EN-CO_00248
CL1248Contig1	HCGP-EN-CO_00249
CL1249Contig1	HCGP-EN-CO_00250
CL124Contig1	HCGP-EN-CO_00251
CL1250Contig1	HCGP-EN-CO_00252
CL1251Contig1	HCGP-EN-CO_00253
CL1252Contig1	HCGP-EN-CO_00254
CL1253Contig1	HCGP-EN-CO_00255
CL1254Contig1	HCGP-EN-CO_00256
CL1255Contig1	HCGP-EN-CO_00257
CL1256Contig1	HCGP-EN-CO_00258
CL1257Contig1	HCGP-EN-CO_00259
CL1258Contig1	HCGP-EN-CO_00260
CL1259Contig1	HCGP-EN-CO_00261
CL125Contig1	HCGP-EN-CO_00262
CL125Contig2	HCGP-EN-CO_00263
CL1260Contig1	HCGP-EN-CO_00264
CL1261Contig1	HCGP-EN-CO_00265
CL1262Contig1	HCGP-EN-CO_00266
CL1263Contig1	HCGP-EN-CO_00267
CL1264Contig1	HCGP-EN-CO_00268
CL1265Contig1	HCGP-EN-CO_00269
CL1266Contig1	HCGP-EN-CO_00270
CL1267Contig1	HCGP-EN-CO_00271
CL1268Contig1	HCGP-EN-CO_00272
CL1269Contig1	HCGP-EN-CO_00273
CL126Contig1	HCGP-EN-CO_00274
CL1270Contig1	HCGP-EN-CO_00275
CL1271Contig1	HCGP-EN-CO_00276
CL1272Contig1	HCGP-EN-CO_00277
CL1273Contig1	HCGP-EN-CO_00278
CL1274Contig1	HCGP-EN-CO_00279
CL1275Contig1	HCGP-EN-CO_00280
CL1276Contig1	HCGP-EN-CO_00281
CL1277Contig1	HCGP-EN-CO_00282
CL1278Contig1	HCGP-EN-CO_00283
CL1279Contig1	HCGP-EN-CO_00284
CL127Contig1	HCGP-EN-CO_00285
CL1280Contig1	HCGP-EN-CO_00286
CL1281Contig1	HCGP-EN-CO_00287
CL1282Contig1	HCGP-EN-CO_00288
CL1283Contig1	HCGP-EN-CO_00289
CL1284Contig1	HCGP-EN-CO_00290
CL1285Contig1	HCGP-EN-CO_00291
CL1286Contig1	HCGP-EN-CO_00292
CL1287Contig1	HCGP-EN-CO_00293
CL1288Contig1	HCGP-EN-CO_00294
CL1289Contig1	HCGP-EN-CO_00295
CL128Contig1	HCGP-EN-CO_00296
CL1290Contig1	HCGP-EN-CO_00297
CL1291Contig1	HCGP-EN-CO_00298
CL1292Contig1	HCGP-EN-CO_00299
CL1293Contig1	HCGP-EN-CO_00300
CL1294Contig1	HCGP-EN-CO_00301
CL1295Contig1	HCGP-EN-CO_00302
CL1296Contig1	HCGP-EN-CO_00303
CL1297Contig1	HCGP-EN-CO_00304
CL1298Contig1	HCGP-EN-CO_00305
CL1299Contig1	HCGP-EN-CO_00306
CL129Contig1	HCGP-EN-CO_00307
CL129Contig2	HCGP-EN-CO_00308
CL12Contig1	HCGP-EN-CO_00309
CL1300Contig1	HCGP-EN-CO_00310
CL1301Contig1	HCGP-EN-CO_00311
CL1302Contig1	HCGP-EN-CO_00312
CL1303Contig1	HCGP-EN-CO_00313
CL1307Contig1	HCGP-EN-CO_00314
CL1308Contig1	HCGP-EN-CO_00315
CL1309Contig1	HCGP-EN-CO_00316
CL130Contig1	HCGP-EN-CO_00317
CL1310Contig1	HCGP-EN-CO_00318
CL1312Contig1	HCGP-EN-CO_00319
CL1314Contig1	HCGP-EN-CO_00320
CL1315Contig1	HCGP-EN-CO_00321
CL1316Contig1	HCGP-EN-CO_00322
CL1317Contig1	HCGP-EN-CO_00323
CL1318Contig1	HCGP-EN-CO_00324
CL1319Contig1	HCGP-EN-CO_00325
CL131Contig1	HCGP-EN-CO_00326
CL1321Contig1	HCGP-EN-CO_00327
CL1322Contig1	HCGP-EN-CO_00328
CL1323Contig1	HCGP-EN-CO_00329
CL1324Contig1	HCGP-EN-CO_00330
CL1326Contig1	HCGP-EN-CO_00331
CL1327Contig1	HCGP-EN-CO_00332
CL1328Contig1	HCGP-EN-CO_00333
CL132Contig1	HCGP-EN-CO_00334
CL1331Contig1	HCGP-EN-CO_00335
CL1332Contig1	HCGP-EN-CO_00336
CL1333Contig1	HCGP-EN-CO_00337
CL1334Contig1	HCGP-EN-CO_00338
CL1335Contig1	HCGP-EN-CO_00339
CL1337Contig1	HCGP-EN-CO_00340
CL1338Contig1	HCGP-EN-CO_00341
CL1339Contig1	HCGP-EN-CO_00342
CL133Contig1	HCGP-EN-CO_00343
CL1340Contig1	HCGP-EN-CO_00344
CL1341Contig1	HCGP-EN-CO_00345
CL1342Contig1	HCGP-EN-CO_00346
CL1343Contig1	HCGP-EN-CO_00347
CL1344Contig1	HCGP-EN-CO_00348
CL1345Contig1	HCGP-EN-CO_00349
CL1346Contig1	HCGP-EN-CO_00350
CL1347Contig1	HCGP-EN-CO_00351
CL1348Contig1	HCGP-EN-CO_00352
CL1349Contig1	HCGP-EN-CO_00353
CL134Contig1	HCGP-EN-CO_00354
CL1350Contig1	HCGP-EN-CO_00355
CL1351Contig1	HCGP-EN-CO_00356
CL1353Contig1	HCGP-EN-CO_00357
CL1354Contig1	HCGP-EN-CO_00358
CL1355Contig1	HCGP-EN-CO_00359
CL1356Contig1	HCGP-EN-CO_00360
CL1357Contig1	HCGP-EN-CO_00361
CL1358Contig1	HCGP-EN-CO_00362
CL1359Contig1	HCGP-EN-CO_00363
CL135Contig1	HCGP-EN-CO_00364
CL1360Contig1	HCGP-EN-CO_00365
CL1361Contig1	HCGP-EN-CO_00366
CL1362Contig1	HCGP-EN-CO_00367
CL1363Contig1	HCGP-EN-CO_00368
CL1364Contig1	HCGP-EN-CO_00369
CL1365Contig1	HCGP-EN-CO_00370
CL1366Contig1	HCGP-EN-CO_00371
CL1367Contig1	HCGP-EN-CO_00372
CL1368Contig1	HCGP-EN-CO_00373
CL1369Contig1	HCGP-EN-CO_00374
CL136Contig1	HCGP-EN-CO_00375
CL1370Contig1	HCGP-EN-CO_00376
CL1371Contig1	HCGP-EN-CO_00377
CL1372Contig1	HCGP-EN-CO_00378
CL1373Contig1	HCGP-EN-CO_00379
CL1374Contig1	HCGP-EN-CO_00380
CL1375Contig1	HCGP-EN-CO_00381
CL1376Contig1	HCGP-EN-CO_00382
CL1377Contig1	HCGP-EN-CO_00383
CL1378Contig1	HCGP-EN-CO_00384
CL1379Contig1	HCGP-EN-CO_00385
CL137Contig1	HCGP-EN-CO_00386
CL1380Contig1	HCGP-EN-CO_00387
CL1381Contig1	HCGP-EN-CO_00388
CL1382Contig1	HCGP-EN-CO_00389
CL1383Contig1	HCGP-EN-CO_00390
CL1384Contig1	HCGP-EN-CO_00391
CL1385Contig1	HCGP-EN-CO_00392
CL1386Contig1	HCGP-EN-CO_00393
CL1387Contig1	HCGP-EN-CO_00394
CL1388Contig1	HCGP-EN-CO_00395
