#TGICL_NAME	CONTIG_NAME
CL10237Contig1	HCGP-HT-CO_00260
CL10238Contig1	HCGP-HT-CO_00261
CL10239Contig1	HCGP-HT-CO_00262
CL1023Contig1	HCGP-HT-CO_00263
CL10240Contig1	HCGP-HT-CO_00264
CL10241Contig1	HCGP-HT-CO_00265
CL10242Contig1	HCGP-HT-CO_00266
CL10243Contig1	HCGP-HT-CO_00267
CL10244Contig1	HCGP-HT-CO_00268
CL10245Contig1	HCGP-HT-CO_00269
CL10246Contig1	HCGP-HT-CO_00270
CL10247Contig1	HCGP-HT-CO_00271
CL10248Contig1	HCGP-HT-CO_00272
CL10249Contig1	HCGP-HT-CO_00273
CL1024Contig1	HCGP-HT-CO_00274
CL10250Contig1	HCGP-HT-CO_00275
CL10251Contig1	HCGP-HT-CO_00276
CL10252Contig1	HCGP-HT-CO_00277
CL10253Contig1	HCGP-HT-CO_00278
CL10254Contig1	HCGP-HT-CO_00279
CL10256Contig1	HCGP-HT-CO_00280
CL10257Contig1	HCGP-HT-CO_00281
CL10258Contig1	HCGP-HT-CO_00282
CL10259Contig1	HCGP-HT-CO_00283
CL1025Contig1	HCGP-HT-CO_00284
CL1025Contig2	HCGP-HT-CO_00285
CL10260Contig1	HCGP-HT-CO_00286
CL10262Contig1	HCGP-HT-CO_00287
CL10263Contig1	HCGP-HT-CO_00288
CL10264Contig1	HCGP-HT-CO_00289
CL10265Contig1	HCGP-HT-CO_00290
CL10266Contig1	HCGP-HT-CO_00291
CL10267Contig1	HCGP-HT-CO_00292
CL10268Contig1	HCGP-HT-CO_00293
CL1026Contig1	HCGP-HT-CO_00294
CL10270Contig1	HCGP-HT-CO_00295
CL10271Contig1	HCGP-HT-CO_00296
CL10272Contig1	HCGP-HT-CO_00297
CL10273Contig1	HCGP-HT-CO_00298
CL10274Contig1	HCGP-HT-CO_00299
CL10275Contig1	HCGP-HT-CO_00300
CL10276Contig1	HCGP-HT-CO_00301
CL10277Contig1	HCGP-HT-CO_00302
CL10279Contig1	HCGP-HT-CO_00303
CL1027Contig1	HCGP-HT-CO_00304
CL10280Contig1	HCGP-HT-CO_00305
CL10281Contig1	HCGP-HT-CO_00306
CL10282Contig1	HCGP-HT-CO_00307
CL10283Contig1	HCGP-HT-CO_00308
CL10284Contig1	HCGP-HT-CO_00309
CL10285Contig1	HCGP-HT-CO_00310
CL10286Contig1	HCGP-HT-CO_00311
CL10287Contig1	HCGP-HT-CO_00312
CL10288Contig1	HCGP-HT-CO_00313
CL10289Contig1	HCGP-HT-CO_00314
CL1028Contig1	HCGP-HT-CO_00315
CL10290Contig1	HCGP-HT-CO_00316
CL10292Contig1	HCGP-HT-CO_00317
CL10293Contig1	HCGP-HT-CO_00318
CL10294Contig1	HCGP-HT-CO_00319
CL10295Contig1	HCGP-HT-CO_00320
CL10296Contig1	HCGP-HT-CO_00321
CL10297Contig1	HCGP-HT-CO_00322
CL10298Contig1	HCGP-HT-CO_00323
CL10299Contig1	HCGP-HT-CO_00324
CL1029Contig1	HCGP-HT-CO_00325
CL1029Contig2	HCGP-HT-CO_00326
CL102Contig1	HCGP-HT-CO_00327
CL102Contig2	HCGP-HT-CO_00328
CL102Contig3	HCGP-HT-CO_00329
CL10302Contig1	HCGP-HT-CO_00330
CL10303Contig1	HCGP-HT-CO_00331
CL10304Contig1	HCGP-HT-CO_00332
CL10305Contig1	HCGP-HT-CO_00333
CL10306Contig1	HCGP-HT-CO_00334
CL10307Contig1	HCGP-HT-CO_00335
CL10308Contig1	HCGP-HT-CO_00336
CL10309Contig1	HCGP-HT-CO_00337
CL1030Contig1	HCGP-HT-CO_00338
CL1030Contig2	HCGP-HT-CO_00339
CL10310Contig1	HCGP-HT-CO_00340
CL10311Contig1	HCGP-HT-CO_00341
CL10312Contig1	HCGP-HT-CO_00342
CL10313Contig1	HCGP-HT-CO_00343
CL10314Contig1	HCGP-HT-CO_00344
CL10315Contig1	HCGP-HT-CO_00345
CL10316Contig1	HCGP-HT-CO_00346
CL10317Contig1	HCGP-HT-CO_00347
CL10318Contig1	HCGP-HT-CO_00348
CL10319Contig1	HCGP-HT-CO_00349
CL1031Contig1	HCGP-HT-CO_00350
CL10320Contig1	HCGP-HT-CO_00351
CL10322Contig1	HCGP-HT-CO_00352
CL10323Contig1	HCGP-HT-CO_00353
CL10325Contig1	HCGP-HT-CO_00354
CL10327Contig1	HCGP-HT-CO_00355
CL10328Contig1	HCGP-HT-CO_00356
CL10329Contig1	HCGP-HT-CO_00357
CL1032Contig1	HCGP-HT-CO_00358
CL10330Contig1	HCGP-HT-CO_00359
CL10331Contig1	HCGP-HT-CO_00360
CL10333Contig1	HCGP-HT-CO_00361
CL10334Contig1	HCGP-HT-CO_00362
CL10335Contig1	HCGP-HT-CO_00363
CL10336Contig1	HCGP-HT-CO_00364
CL10338Contig1	HCGP-HT-CO_00365
CL1033Contig1	HCGP-HT-CO_00366
CL10341Contig1	HCGP-HT-CO_00367
CL10342Contig1	HCGP-HT-CO_00368
CL10343Contig1	HCGP-HT-CO_00369
CL10344Contig1	HCGP-HT-CO_00370
CL10345Contig1	HCGP-HT-CO_00371
CL10346Contig1	HCGP-HT-CO_00372
CL10347Contig1	HCGP-HT-CO_00373
CL10349Contig1	HCGP-HT-CO_00374
CL1034Contig1	HCGP-HT-CO_00375
