#TGICL_NAME	CONTIG_NAME
CL22Contig1	HCGP-HN-CO_00240
CL230Contig1	HCGP-HN-CO_00241
CL231Contig1	HCGP-HN-CO_00242
CL232Contig1	HCGP-HN-CO_00243
CL233Contig1	HCGP-HN-CO_00244
CL234Contig1	HCGP-HN-CO_00245
CL235Contig1	HCGP-HN-CO_00246
CL236Contig1	HCGP-HN-CO_00247
CL237Contig1	HCGP-HN-CO_00248
CL238Contig1	HCGP-HN-CO_00249
CL239Contig1	HCGP-HN-CO_00250
CL23Contig1	HCGP-HN-CO_00251
CL240Contig1	HCGP-HN-CO_00252
CL241Contig1	HCGP-HN-CO_00253
CL242Contig1	HCGP-HN-CO_00254
CL243Contig1	HCGP-HN-CO_00255
CL244Contig1	HCGP-HN-CO_00256
CL245Contig1	HCGP-HN-CO_00257
CL246Contig1	HCGP-HN-CO_00258
CL247Contig1	HCGP-HN-CO_00259
CL248Contig1	HCGP-HN-CO_00260
CL249Contig1	HCGP-HN-CO_00261
CL24Contig1	HCGP-HN-CO_00262
CL24Contig2	HCGP-HN-CO_00263
CL250Contig1	HCGP-HN-CO_00264
CL251Contig1	HCGP-HN-CO_00265
CL252Contig1	HCGP-HN-CO_00266
CL253Contig1	HCGP-HN-CO_00267
CL254Contig1	HCGP-HN-CO_00268
CL255Contig1	HCGP-HN-CO_00269
CL256Contig1	HCGP-HN-CO_00270
CL257Contig1	HCGP-HN-CO_00271
CL258Contig1	HCGP-HN-CO_00272
CL259Contig1	HCGP-HN-CO_00273
CL25Contig1	HCGP-HN-CO_00274
CL260Contig1	HCGP-HN-CO_00275
CL261Contig1	HCGP-HN-CO_00276
CL262Contig1	HCGP-HN-CO_00277
CL263Contig1	HCGP-HN-CO_00278
CL264Contig1	HCGP-HN-CO_00279
CL265Contig1	HCGP-HN-CO_00280
CL266Contig1	HCGP-HN-CO_00281
CL267Contig1	HCGP-HN-CO_00282
CL268Contig1	HCGP-HN-CO_00283
CL269Contig1	HCGP-HN-CO_00284
CL26Contig1	HCGP-HN-CO_00285
CL270Contig1	HCGP-HN-CO_00286
CL271Contig1	HCGP-HN-CO_00287
CL272Contig1	HCGP-HN-CO_00288
CL272Contig2	HCGP-HN-CO_00289
CL273Contig1	HCGP-HN-CO_00290
CL274Contig1	HCGP-HN-CO_00291
CL276Contig1	HCGP-HN-CO_00292
CL276Contig2	HCGP-HN-CO_00293
CL277Contig1	HCGP-HN-CO_00294
CL279Contig1	HCGP-HN-CO_00295
CL27Contig1	HCGP-HN-CO_00296
CL280Contig1	HCGP-HN-CO_00297
CL281Contig1	HCGP-HN-CO_00298
CL282Contig1	HCGP-HN-CO_00299
CL283Contig1	HCGP-HN-CO_00300
CL284Contig1	HCGP-HN-CO_00301
CL285Contig1	HCGP-HN-CO_00302
CL286Contig1	HCGP-HN-CO_00303
CL287Contig1	HCGP-HN-CO_00304
CL288Contig1	HCGP-HN-CO_00305
CL289Contig1	HCGP-HN-CO_00306
CL28Contig1	HCGP-HN-CO_00307
CL290Contig1	HCGP-HN-CO_00308
CL291Contig1	HCGP-HN-CO_00309
CL292Contig1	HCGP-HN-CO_00310
CL293Contig1	HCGP-HN-CO_00311
CL294Contig1	HCGP-HN-CO_00312
CL295Contig1	HCGP-HN-CO_00313
CL296Contig1	HCGP-HN-CO_00314
CL297Contig1	HCGP-HN-CO_00315
CL298Contig1	HCGP-HN-CO_00316
CL299Contig1	HCGP-HN-CO_00317
CL29Contig1	HCGP-HN-CO_00318
CL2Contig1	HCGP-HN-CO_00319
CL2Contig10	HCGP-HN-CO_00320
CL2Contig11	HCGP-HN-CO_00321
CL2Contig12	HCGP-HN-CO_00322
CL2Contig13	HCGP-HN-CO_00323
CL2Contig14	HCGP-HN-CO_00324
CL2Contig15	HCGP-HN-CO_00325
CL2Contig16	HCGP-HN-CO_00326
CL2Contig17	HCGP-HN-CO_00327
CL2Contig18	HCGP-HN-CO_00328
CL2Contig19	HCGP-HN-CO_00329
CL2Contig2	HCGP-HN-CO_00330
CL2Contig20	HCGP-HN-CO_00331
CL2Contig21	HCGP-HN-CO_00332
CL2Contig22	HCGP-HN-CO_00333
CL2Contig23	HCGP-HN-CO_00334
CL2Contig24	HCGP-HN-CO_00335
CL2Contig25	HCGP-HN-CO_00336
CL2Contig26	HCGP-HN-CO_00337
CL2Contig27	HCGP-HN-CO_00338
CL2Contig28	HCGP-HN-CO_00339
CL2Contig29	HCGP-HN-CO_00340
CL2Contig3	HCGP-HN-CO_00341
CL2Contig30	HCGP-HN-CO_00342
CL2Contig31	HCGP-HN-CO_00343
CL2Contig32	HCGP-HN-CO_00344
CL2Contig33	HCGP-HN-CO_00345
CL2Contig4	HCGP-HN-CO_00346
CL2Contig5	HCGP-HN-CO_00347
CL2Contig6	HCGP-HN-CO_00348
CL2Contig7	HCGP-HN-CO_00349
CL2Contig8	HCGP-HN-CO_00350
CL2Contig9	HCGP-HN-CO_00351
CL300Contig1	HCGP-HN-CO_00352
CL301Contig1	HCGP-HN-CO_00353
CL302Contig1	HCGP-HN-CO_00354
CL303Contig1	HCGP-HN-CO_00355
CL304Contig1	HCGP-HN-CO_00356
CL305Contig1	HCGP-HN-CO_00357
CL306Contig1	HCGP-HN-CO_00358
