#TGICL_NAME	CONTIG_NAME
CL1218Contig1	HCGP-CN-CO_00219
CL1219Contig1	HCGP-CN-CO_00220
CL121Contig1	HCGP-CN-CO_00221
CL121Contig2	HCGP-CN-CO_00222
CL1220Contig1	HCGP-CN-CO_00223
CL1221Contig1	HCGP-CN-CO_00224
CL1222Contig1	HCGP-CN-CO_00225
CL1223Contig1	HCGP-CN-CO_00226
CL1224Contig1	HCGP-CN-CO_00227
CL1225Contig1	HCGP-CN-CO_00228
CL1226Contig1	HCGP-CN-CO_00229
CL1227Contig1	HCGP-CN-CO_00230
CL1228Contig1	HCGP-CN-CO_00231
CL1229Contig1	HCGP-CN-CO_00232
CL122Contig1	HCGP-CN-CO_00233
CL122Contig2	HCGP-CN-CO_00234
CL1230Contig1	HCGP-CN-CO_00235
CL1231Contig1	HCGP-CN-CO_00236
CL1232Contig1	HCGP-CN-CO_00237
CL1233Contig1	HCGP-CN-CO_00238
CL1235Contig1	HCGP-CN-CO_00239
CL1236Contig1	HCGP-CN-CO_00240
CL1237Contig1	HCGP-CN-CO_00241
CL1238Contig1	HCGP-CN-CO_00242
CL1239Contig1	HCGP-CN-CO_00243
CL123Contig1	HCGP-CN-CO_00244
CL1240Contig1	HCGP-CN-CO_00245
CL1241Contig1	HCGP-CN-CO_00246
CL1242Contig1	HCGP-CN-CO_00247
CL1243Contig1	HCGP-CN-CO_00248
CL1244Contig1	HCGP-CN-CO_00249
CL1245Contig1	HCGP-CN-CO_00250
CL1246Contig1	HCGP-CN-CO_00251
CL1247Contig1	HCGP-CN-CO_00252
CL1248Contig1	HCGP-CN-CO_00253
CL1249Contig1	HCGP-CN-CO_00254
CL124Contig1	HCGP-CN-CO_00255
CL1250Contig1	HCGP-CN-CO_00256
CL1251Contig1	HCGP-CN-CO_00257
CL1252Contig1	HCGP-CN-CO_00258
CL1253Contig1	HCGP-CN-CO_00259
CL1254Contig1	HCGP-CN-CO_00260
CL1255Contig1	HCGP-CN-CO_00261
CL1256Contig1	HCGP-CN-CO_00262
CL1259Contig1	HCGP-CN-CO_00263
CL125Contig1	HCGP-CN-CO_00264
CL1261Contig1	HCGP-CN-CO_00265
CL1262Contig1	HCGP-CN-CO_00266
CL1263Contig1	HCGP-CN-CO_00267
CL1264Contig1	HCGP-CN-CO_00268
CL1265Contig1	HCGP-CN-CO_00269
CL1266Contig1	HCGP-CN-CO_00270
CL1267Contig1	HCGP-CN-CO_00271
CL1268Contig1	HCGP-CN-CO_00272
CL1269Contig1	HCGP-CN-CO_00273
CL126Contig1	HCGP-CN-CO_00274
CL1270Contig1	HCGP-CN-CO_00275
CL1271Contig1	HCGP-CN-CO_00276
CL1272Contig1	HCGP-CN-CO_00277
CL1273Contig1	HCGP-CN-CO_00278
CL1274Contig1	HCGP-CN-CO_00279
CL1275Contig1	HCGP-CN-CO_00280
CL1276Contig1	HCGP-CN-CO_00281
CL1277Contig1	HCGP-CN-CO_00282
CL1278Contig1	HCGP-CN-CO_00283
CL1279Contig1	HCGP-CN-CO_00284
CL127Contig1	HCGP-CN-CO_00285
CL1280Contig1	HCGP-CN-CO_00286
CL1281Contig1	HCGP-CN-CO_00287
CL1282Contig1	HCGP-CN-CO_00288
CL1283Contig1	HCGP-CN-CO_00289
CL1284Contig1	HCGP-CN-CO_00290
CL1285Contig1	HCGP-CN-CO_00291
CL1286Contig1	HCGP-CN-CO_00292
CL1287Contig1	HCGP-CN-CO_00293
CL1288Contig1	HCGP-CN-CO_00294
CL1289Contig1	HCGP-CN-CO_00295
CL128Contig1	HCGP-CN-CO_00296
CL1290Contig1	HCGP-CN-CO_00297
CL1291Contig1	HCGP-CN-CO_00298
CL1292Contig1	HCGP-CN-CO_00299
CL1293Contig1	HCGP-CN-CO_00300
CL1294Contig1	HCGP-CN-CO_00301
CL1295Contig1	HCGP-CN-CO_00302
CL1296Contig1	HCGP-CN-CO_00303
CL1297Contig1	HCGP-CN-CO_00304
CL1299Contig1	HCGP-CN-CO_00305
CL129Contig1	HCGP-CN-CO_00306
CL12Contig10	HCGP-CN-CO_00307
CL12Contig11	HCGP-CN-CO_00308
CL12Contig3	HCGP-CN-CO_00309
CL12Contig4	HCGP-CN-CO_00310
CL12Contig6	HCGP-CN-CO_00311
CL12Contig7	HCGP-CN-CO_00312
CL12Contig8	HCGP-CN-CO_00313
CL12Contig9	HCGP-CN-CO_00314
CL1300Contig1	HCGP-CN-CO_00315
CL1301Contig1	HCGP-CN-CO_00316
CL1302Contig1	HCGP-CN-CO_00317
CL1303Contig1	HCGP-CN-CO_00318
CL1304Contig1	HCGP-CN-CO_00319
CL1305Contig1	HCGP-CN-CO_00320
CL1306Contig1	HCGP-CN-CO_00321
