#TGICL_NAME	CONTIG_NAME
CL922Contig1	HCGP-CN-CO_01252
CL923Contig1	HCGP-CN-CO_01253
CL924Contig1	HCGP-CN-CO_01254
CL925Contig1	HCGP-CN-CO_01255
CL926Contig1	HCGP-CN-CO_01256
CL927Contig1	HCGP-CN-CO_01257
CL928Contig1	HCGP-CN-CO_01258
CL929Contig1	HCGP-CN-CO_01259
CL92Contig1	HCGP-CN-CO_01260
CL930Contig1	HCGP-CN-CO_01261
CL931Contig1	HCGP-CN-CO_01262
CL932Contig1	HCGP-CN-CO_01263
CL933Contig1	HCGP-CN-CO_01264
CL934Contig1	HCGP-CN-CO_01265
CL935Contig1	HCGP-CN-CO_01266
CL936Contig1	HCGP-CN-CO_01267
CL937Contig1	HCGP-CN-CO_01268
CL938Contig1	HCGP-CN-CO_01269
CL939Contig1	HCGP-CN-CO_01270
CL93Contig1	HCGP-CN-CO_01271
CL940Contig1	HCGP-CN-CO_01272
CL941Contig1	HCGP-CN-CO_01273
CL942Contig1	HCGP-CN-CO_01274
CL943Contig1	HCGP-CN-CO_01275
CL944Contig1	HCGP-CN-CO_01276
CL945Contig1	HCGP-CN-CO_01277
CL946Contig1	HCGP-CN-CO_01278
CL947Contig1	HCGP-CN-CO_01279
CL948Contig1	HCGP-CN-CO_01280
CL949Contig1	HCGP-CN-CO_01281
CL94Contig1	HCGP-CN-CO_01282
CL950Contig1	HCGP-CN-CO_01283
CL951Contig1	HCGP-CN-CO_01284
CL952Contig1	HCGP-CN-CO_01285
CL953Contig1	HCGP-CN-CO_01286
CL955Contig1	HCGP-CN-CO_01287
CL957Contig1	HCGP-CN-CO_01288
CL958Contig1	HCGP-CN-CO_01289
CL959Contig1	HCGP-CN-CO_01290
CL95Contig1	HCGP-CN-CO_01291
CL95Contig2	HCGP-CN-CO_01292
CL960Contig1	HCGP-CN-CO_01293
CL961Contig1	HCGP-CN-CO_01294
CL962Contig1	HCGP-CN-CO_01295
CL963Contig1	HCGP-CN-CO_01296
CL964Contig1	HCGP-CN-CO_01297
CL965Contig1	HCGP-CN-CO_01298
CL966Contig1	HCGP-CN-CO_01299
CL967Contig1	HCGP-CN-CO_01300
CL968Contig1	HCGP-CN-CO_01301
CL969Contig1	HCGP-CN-CO_01302
CL96Contig1	HCGP-CN-CO_01303
CL970Contig1	HCGP-CN-CO_01304
CL971Contig1	HCGP-CN-CO_01305
CL972Contig1	HCGP-CN-CO_01306
CL974Contig1	HCGP-CN-CO_01307
CL975Contig1	HCGP-CN-CO_01308
CL976Contig1	HCGP-CN-CO_01309
CL977Contig1	HCGP-CN-CO_01310
CL978Contig1	HCGP-CN-CO_01311
CL979Contig1	HCGP-CN-CO_01312
CL97Contig1	HCGP-CN-CO_01313
CL980Contig1	HCGP-CN-CO_01314
CL981Contig1	HCGP-CN-CO_01315
CL982Contig1	HCGP-CN-CO_01316
CL983Contig1	HCGP-CN-CO_01317
CL984Contig1	HCGP-CN-CO_01318
CL985Contig1	HCGP-CN-CO_01319
CL986Contig1	HCGP-CN-CO_01320
CL987Contig1	HCGP-CN-CO_01321
CL988Contig1	HCGP-CN-CO_01322
CL989Contig1	HCGP-CN-CO_01323
CL98Contig1	HCGP-CN-CO_01324
CL990Contig1	HCGP-CN-CO_01325
CL991Contig1	HCGP-CN-CO_01326
CL992Contig1	HCGP-CN-CO_01327
CL993Contig1	HCGP-CN-CO_01328
CL994Contig1	HCGP-CN-CO_01329
CL995Contig1	HCGP-CN-CO_01330
CL996Contig1	HCGP-CN-CO_01331
CL997Contig1	HCGP-CN-CO_01332
CL998Contig1	HCGP-CN-CO_01333
CL999Contig1	HCGP-CN-CO_01334
CL99Contig1	HCGP-CN-CO_01335
CL9Contig1	HCGP-CN-CO_01336
CL9Contig2	HCGP-CN-CO_01337
