#TGICL_NAME	CONTIG_NAME
CL55Contig1	HCGP-TT-CO_00297
CL56Contig1	HCGP-TT-CO_00298
CL57Contig1	HCGP-TT-CO_00299
CL58Contig1	HCGP-TT-CO_00300
CL59Contig1	HCGP-TT-CO_00301
CL5Contig1	HCGP-TT-CO_00302
CL5Contig2	HCGP-TT-CO_00303
CL5Contig3	HCGP-TT-CO_00304
CL5Contig4	HCGP-TT-CO_00305
CL60Contig1	HCGP-TT-CO_00306
CL61Contig1	HCGP-TT-CO_00307
CL63Contig1	HCGP-TT-CO_00308
CL63Contig2	HCGP-TT-CO_00309
CL64Contig1	HCGP-TT-CO_00310
CL64Contig2	HCGP-TT-CO_00311
CL67Contig1	HCGP-TT-CO_00312
CL69Contig1	HCGP-TT-CO_00313
CL6Contig1	HCGP-TT-CO_00314
CL70Contig1	HCGP-TT-CO_00315
CL70Contig2	HCGP-TT-CO_00316
CL71Contig1	HCGP-TT-CO_00317
CL72Contig1	HCGP-TT-CO_00318
CL73Contig1	HCGP-TT-CO_00319
CL75Contig1	HCGP-TT-CO_00320
CL76Contig1	HCGP-TT-CO_00321
CL77Contig1	HCGP-TT-CO_00322
CL78Contig1	HCGP-TT-CO_00323
CL79Contig1	HCGP-TT-CO_00324
CL7Contig1	HCGP-TT-CO_00325
CL80Contig1	HCGP-TT-CO_00326
CL81Contig1	HCGP-TT-CO_00327
CL82Contig1	HCGP-TT-CO_00328
CL83Contig1	HCGP-TT-CO_00329
CL84Contig1	HCGP-TT-CO_00330
CL86Contig1	HCGP-TT-CO_00331
CL87Contig1	HCGP-TT-CO_00332
CL88Contig1	HCGP-TT-CO_00333
CL89Contig1	HCGP-TT-CO_00334
CL8Contig1	HCGP-TT-CO_00335
CL90Contig1	HCGP-TT-CO_00336
CL91Contig1	HCGP-TT-CO_00337
CL92Contig1	HCGP-TT-CO_00338
CL93Contig1	HCGP-TT-CO_00339
CL94Contig1	HCGP-TT-CO_00340
CL95Contig1	HCGP-TT-CO_00341
CL96Contig1	HCGP-TT-CO_00342
CL97Contig1	HCGP-TT-CO_00343
CL98Contig1	HCGP-TT-CO_00344
CL98Contig2	HCGP-TT-CO_00345
CL99Contig1	HCGP-TT-CO_00346
CL99Contig2	HCGP-TT-CO_00347
CL9Contig1	HCGP-TT-CO_00348
CL9Contig2	HCGP-TT-CO_00349
CL9Contig3	HCGP-TT-CO_00350
