#TGICL_NAME	CONTIG_NAME
CL411Contig1	HCGP-SN-CO_00364
CL412Contig1	HCGP-SN-CO_00365
CL413Contig1	HCGP-SN-CO_00366
CL414Contig1	HCGP-SN-CO_00367
CL415Contig1	HCGP-SN-CO_00368
CL416Contig1	HCGP-SN-CO_00369
CL418Contig1	HCGP-SN-CO_00370
CL419Contig1	HCGP-SN-CO_00371
CL41Contig1	HCGP-SN-CO_00372
CL421Contig1	HCGP-SN-CO_00373
CL422Contig1	HCGP-SN-CO_00374
CL423Contig1	HCGP-SN-CO_00375
CL424Contig1	HCGP-SN-CO_00376
CL426Contig1	HCGP-SN-CO_00377
CL428Contig1	HCGP-SN-CO_00378
CL429Contig1	HCGP-SN-CO_00379
CL42Contig1	HCGP-SN-CO_00380
CL430Contig1	HCGP-SN-CO_00381
CL434Contig1	HCGP-SN-CO_00382
CL436Contig1	HCGP-SN-CO_00383
CL437Contig1	HCGP-SN-CO_00384
CL438Contig1	HCGP-SN-CO_00385
CL43Contig1	HCGP-SN-CO_00386
CL440Contig1	HCGP-SN-CO_00387
CL443Contig1	HCGP-SN-CO_00388
CL444Contig1	HCGP-SN-CO_00389
CL445Contig1	HCGP-SN-CO_00390
CL446Contig1	HCGP-SN-CO_00391
CL447Contig1	HCGP-SN-CO_00392
CL449Contig1	HCGP-SN-CO_00393
CL44Contig1	HCGP-SN-CO_00394
CL450Contig1	HCGP-SN-CO_00395
CL451Contig1	HCGP-SN-CO_00396
CL453Contig1	HCGP-SN-CO_00397
CL455Contig1	HCGP-SN-CO_00398
CL456Contig1	HCGP-SN-CO_00399
CL457Contig1	HCGP-SN-CO_00400
CL458Contig1	HCGP-SN-CO_00401
CL459Contig1	HCGP-SN-CO_00402
CL45Contig1	HCGP-SN-CO_00403
CL460Contig1	HCGP-SN-CO_00404
CL461Contig1	HCGP-SN-CO_00405
CL462Contig1	HCGP-SN-CO_00406
CL463Contig1	HCGP-SN-CO_00407
CL464Contig1	HCGP-SN-CO_00408
CL465Contig1	HCGP-SN-CO_00409
CL468Contig1	HCGP-SN-CO_00410
CL469Contig1	HCGP-SN-CO_00411
CL46Contig1	HCGP-SN-CO_00412
CL470Contig1	HCGP-SN-CO_00413
CL471Contig1	HCGP-SN-CO_00414
CL472Contig1	HCGP-SN-CO_00415
CL473Contig1	HCGP-SN-CO_00416
CL474Contig1	HCGP-SN-CO_00417
CL477Contig1	HCGP-SN-CO_00418
CL478Contig1	HCGP-SN-CO_00419
CL479Contig1	HCGP-SN-CO_00420
CL47Contig1	HCGP-SN-CO_00421
CL47Contig2	HCGP-SN-CO_00422
CL482Contig1	HCGP-SN-CO_00423
CL484Contig1	HCGP-SN-CO_00424
CL485Contig1	HCGP-SN-CO_00425
CL486Contig1	HCGP-SN-CO_00426
CL487Contig1	HCGP-SN-CO_00427
CL488Contig1	HCGP-SN-CO_00428
CL489Contig1	HCGP-SN-CO_00429
CL48Contig1	HCGP-SN-CO_00430
CL490Contig1	HCGP-SN-CO_00431
CL491Contig1	HCGP-SN-CO_00432
CL493Contig1	HCGP-SN-CO_00433
CL494Contig1	HCGP-SN-CO_00434
CL495Contig1	HCGP-SN-CO_00435
CL496Contig1	HCGP-SN-CO_00436
CL498Contig1	HCGP-SN-CO_00437
CL499Contig1	HCGP-SN-CO_00438
CL49Contig1	HCGP-SN-CO_00439
CL4Contig1	HCGP-SN-CO_00440
CL4Contig2	HCGP-SN-CO_00441
CL4Contig3	HCGP-SN-CO_00442
CL4Contig4	HCGP-SN-CO_00443
CL4Contig5	HCGP-SN-CO_00444
CL500Contig1	HCGP-SN-CO_00445
CL501Contig1	HCGP-SN-CO_00446
CL503Contig1	HCGP-SN-CO_00447
CL504Contig1	HCGP-SN-CO_00448
CL505Contig1	HCGP-SN-CO_00449
CL506Contig1	HCGP-SN-CO_00450
CL507Contig1	HCGP-SN-CO_00451
CL509Contig1	HCGP-SN-CO_00452
CL50Contig1	HCGP-SN-CO_00453
CL510Contig1	HCGP-SN-CO_00454
CL511Contig1	HCGP-SN-CO_00455
CL512Contig1	HCGP-SN-CO_00456
CL513Contig1	HCGP-SN-CO_00457
CL514Contig1	HCGP-SN-CO_00458
CL515Contig1	HCGP-SN-CO_00459
CL516Contig1	HCGP-SN-CO_00460
CL517Contig1	HCGP-SN-CO_00461
CL518Contig1	HCGP-SN-CO_00462
CL519Contig1	HCGP-SN-CO_00463
CL51Contig1	HCGP-SN-CO_00464
CL520Contig1	HCGP-SN-CO_00465
CL522Contig1	HCGP-SN-CO_00466
CL523Contig1	HCGP-SN-CO_00467
CL524Contig1	HCGP-SN-CO_00468
CL526Contig1	HCGP-SN-CO_00469
CL527Contig1	HCGP-SN-CO_00470
CL529Contig1	HCGP-SN-CO_00471
CL52Contig1	HCGP-SN-CO_00472
CL52Contig2	HCGP-SN-CO_00473
CL530Contig1	HCGP-SN-CO_00474
CL531Contig1	HCGP-SN-CO_00475
CL532Contig1	HCGP-SN-CO_00476
CL533Contig1	HCGP-SN-CO_00477
CL534Contig1	HCGP-SN-CO_00478
CL535Contig1	HCGP-SN-CO_00479
CL536Contig1	HCGP-SN-CO_00480
CL537Contig1	HCGP-SN-CO_00481
CL539Contig1	HCGP-SN-CO_00482
CL53Contig1	HCGP-SN-CO_00483
CL540Contig1	HCGP-SN-CO_00484
CL541Contig1	HCGP-SN-CO_00485
CL544Contig1	HCGP-SN-CO_00486
CL545Contig1	HCGP-SN-CO_00487
CL546Contig1	HCGP-SN-CO_00488
CL547Contig1	HCGP-SN-CO_00489
CL548Contig1	HCGP-SN-CO_00490
CL549Contig1	HCGP-SN-CO_00491
CL54Contig1	HCGP-SN-CO_00492
CL550Contig1	HCGP-SN-CO_00493
CL551Contig1	HCGP-SN-CO_00494
CL552Contig1	HCGP-SN-CO_00495
CL554Contig1	HCGP-SN-CO_00496
CL555Contig1	HCGP-SN-CO_00497
CL556Contig1	HCGP-SN-CO_00498
CL557Contig1	HCGP-SN-CO_00499
CL558Contig1	HCGP-SN-CO_00500
CL559Contig1	HCGP-SN-CO_00501
CL55Contig1	HCGP-SN-CO_00502
CL560Contig1	HCGP-SN-CO_00503
CL561Contig1	HCGP-SN-CO_00504
CL562Contig1	HCGP-SN-CO_00505
CL563Contig1	HCGP-SN-CO_00506
CL564Contig1	HCGP-SN-CO_00507
CL565Contig1	HCGP-SN-CO_00508
CL566Contig1	HCGP-SN-CO_00509
CL567Contig1	HCGP-SN-CO_00510
CL568Contig1	HCGP-SN-CO_00511
CL569Contig1	HCGP-SN-CO_00512
CL56Contig1	HCGP-SN-CO_00513
CL570Contig1	HCGP-SN-CO_00514
CL571Contig1	HCGP-SN-CO_00515
CL572Contig1	HCGP-SN-CO_00516
CL573Contig1	HCGP-SN-CO_00517
CL574Contig1	HCGP-SN-CO_00518
CL575Contig1	HCGP-SN-CO_00519
CL576Contig1	HCGP-SN-CO_00520
CL577Contig1	HCGP-SN-CO_00521
CL578Contig1	HCGP-SN-CO_00522
CL57Contig1	HCGP-SN-CO_00523
CL580Contig1	HCGP-SN-CO_00524
CL581Contig1	HCGP-SN-CO_00525
CL582Contig1	HCGP-SN-CO_00526
CL583Contig1	HCGP-SN-CO_00527
CL584Contig1	HCGP-SN-CO_00528
CL585Contig1	HCGP-SN-CO_00529
CL586Contig1	HCGP-SN-CO_00530
CL587Contig1	HCGP-SN-CO_00531
CL589Contig1	HCGP-SN-CO_00532
CL58Contig1	HCGP-SN-CO_00533
CL58Contig2	HCGP-SN-CO_00534
CL590Contig1	HCGP-SN-CO_00535
CL591Contig1	HCGP-SN-CO_00536
CL592Contig1	HCGP-SN-CO_00537
CL593Contig1	HCGP-SN-CO_00538
CL594Contig1	HCGP-SN-CO_00539
CL597Contig1	HCGP-SN-CO_00540
CL598Contig1	HCGP-SN-CO_00541
CL599Contig1	HCGP-SN-CO_00542
CL59Contig1	HCGP-SN-CO_00543
CL5Contig1	HCGP-SN-CO_00544
CL600Contig1	HCGP-SN-CO_00545
CL602Contig1	HCGP-SN-CO_00546
CL603Contig1	HCGP-SN-CO_00547
CL604Contig1	HCGP-SN-CO_00548
CL605Contig1	HCGP-SN-CO_00549
CL607Contig1	HCGP-SN-CO_00550
CL608Contig1	HCGP-SN-CO_00551
CL609Contig1	HCGP-SN-CO_00552
CL60Contig1	HCGP-SN-CO_00553
CL610Contig1	HCGP-SN-CO_00554
CL611Contig1	HCGP-SN-CO_00555
CL613Contig1	HCGP-SN-CO_00556
CL614Contig1	HCGP-SN-CO_00557
CL615Contig1	HCGP-SN-CO_00558
CL616Contig1	HCGP-SN-CO_00559
CL618Contig1	HCGP-SN-CO_00560
CL619Contig1	HCGP-SN-CO_00561
CL61Contig1	HCGP-SN-CO_00562
CL620Contig1	HCGP-SN-CO_00563
CL621Contig1	HCGP-SN-CO_00564
CL622Contig1	HCGP-SN-CO_00565
CL623Contig1	HCGP-SN-CO_00566
CL624Contig1	HCGP-SN-CO_00567
CL625Contig1	HCGP-SN-CO_00568
CL626Contig1	HCGP-SN-CO_00569
CL629Contig1	HCGP-SN-CO_00570
CL62Contig1	HCGP-SN-CO_00571
CL630Contig1	HCGP-SN-CO_00572
CL631Contig1	HCGP-SN-CO_00573
CL632Contig1	HCGP-SN-CO_00574
CL633Contig1	HCGP-SN-CO_00575
CL634Contig1	HCGP-SN-CO_00576
CL635Contig1	HCGP-SN-CO_00577
CL636Contig1	HCGP-SN-CO_00578
CL637Contig1	HCGP-SN-CO_00579
CL638Contig1	HCGP-SN-CO_00580
CL639Contig1	HCGP-SN-CO_00581
CL63Contig1	HCGP-SN-CO_00582
CL640Contig1	HCGP-SN-CO_00583
CL641Contig1	HCGP-SN-CO_00584
CL642Contig1	HCGP-SN-CO_00585
CL643Contig1	HCGP-SN-CO_00586
