#TGICL_NAME	CONTIG_NAME
CL1578Contig1	HCGP-FN-CO_00534
CL1579Contig1	HCGP-FN-CO_00535
CL157Contig1	HCGP-FN-CO_00536
CL1580Contig1	HCGP-FN-CO_00537
CL1581Contig1	HCGP-FN-CO_00538
CL1582Contig1	HCGP-FN-CO_00539
CL1583Contig1	HCGP-FN-CO_00540
CL1584Contig1	HCGP-FN-CO_00541
CL1585Contig1	HCGP-FN-CO_00542
CL1586Contig1	HCGP-FN-CO_00543
CL1587Contig1	HCGP-FN-CO_00544
CL1588Contig1	HCGP-FN-CO_00545
CL1589Contig1	HCGP-FN-CO_00546
CL158Contig1	HCGP-FN-CO_00547
CL158Contig2	HCGP-FN-CO_00548
CL1590Contig1	HCGP-FN-CO_00549
CL1591Contig1	HCGP-FN-CO_00550
CL1592Contig1	HCGP-FN-CO_00551
CL1593Contig1	HCGP-FN-CO_00552
CL1594Contig1	HCGP-FN-CO_00553
CL1595Contig1	HCGP-FN-CO_00554
CL1596Contig1	HCGP-FN-CO_00555
CL1597Contig1	HCGP-FN-CO_00556
CL1598Contig1	HCGP-FN-CO_00557
CL1599Contig1	HCGP-FN-CO_00558
CL159Contig1	HCGP-FN-CO_00559
CL159Contig2	HCGP-FN-CO_00560
CL15Contig1	HCGP-FN-CO_00561
CL15Contig2	HCGP-FN-CO_00562
CL1600Contig1	HCGP-FN-CO_00563
CL1601Contig1	HCGP-FN-CO_00564
CL1602Contig1	HCGP-FN-CO_00565
CL1603Contig1	HCGP-FN-CO_00566
CL1605Contig1	HCGP-FN-CO_00567
CL1608Contig1	HCGP-FN-CO_00568
CL1609Contig1	HCGP-FN-CO_00569
CL160Contig1	HCGP-FN-CO_00570
CL160Contig2	HCGP-FN-CO_00571
CL1610Contig1	HCGP-FN-CO_00572
CL1611Contig1	HCGP-FN-CO_00573
CL1612Contig1	HCGP-FN-CO_00574
CL1613Contig1	HCGP-FN-CO_00575
CL1614Contig1	HCGP-FN-CO_00576
CL1615Contig1	HCGP-FN-CO_00577
CL1616Contig1	HCGP-FN-CO_00578
CL1617Contig1	HCGP-FN-CO_00579
CL1618Contig1	HCGP-FN-CO_00580
CL1619Contig1	HCGP-FN-CO_00581
CL161Contig1	HCGP-FN-CO_00582
CL1621Contig1	HCGP-FN-CO_00583
CL1622Contig1	HCGP-FN-CO_00584
CL1623Contig1	HCGP-FN-CO_00585
CL1625Contig1	HCGP-FN-CO_00586
CL1626Contig1	HCGP-FN-CO_00587
CL1627Contig1	HCGP-FN-CO_00588
CL1628Contig1	HCGP-FN-CO_00589
CL1629Contig1	HCGP-FN-CO_00590
CL162Contig1	HCGP-FN-CO_00591
CL1630Contig1	HCGP-FN-CO_00592
CL1631Contig1	HCGP-FN-CO_00593
CL1632Contig1	HCGP-FN-CO_00594
CL1633Contig1	HCGP-FN-CO_00595
CL1634Contig1	HCGP-FN-CO_00596
CL1635Contig1	HCGP-FN-CO_00597
CL1636Contig1	HCGP-FN-CO_00598
CL1637Contig1	HCGP-FN-CO_00599
CL1638Contig1	HCGP-FN-CO_00600
CL1639Contig1	HCGP-FN-CO_00601
CL163Contig1	HCGP-FN-CO_00602
CL1640Contig1	HCGP-FN-CO_00603
CL1641Contig1	HCGP-FN-CO_00604
CL1642Contig1	HCGP-FN-CO_00605
CL1643Contig1	HCGP-FN-CO_00606
CL1644Contig1	HCGP-FN-CO_00607
CL1645Contig1	HCGP-FN-CO_00608
CL1646Contig1	HCGP-FN-CO_00609
