#TGICL_NAME	CONTIG_NAME
CL1229Contig1	HCGP-NT-CO_00262
CL122Contig1	HCGP-NT-CO_00263
CL122Contig2	HCGP-NT-CO_00264
CL1230Contig1	HCGP-NT-CO_00265
CL1231Contig1	HCGP-NT-CO_00266
CL1232Contig1	HCGP-NT-CO_00267
CL1233Contig1	HCGP-NT-CO_00268
CL1234Contig1	HCGP-NT-CO_00269
CL1235Contig1	HCGP-NT-CO_00270
CL1236Contig1	HCGP-NT-CO_00271
CL1237Contig1	HCGP-NT-CO_00272
CL1238Contig1	HCGP-NT-CO_00273
CL1239Contig1	HCGP-NT-CO_00274
CL123Contig1	HCGP-NT-CO_00275
CL1240Contig1	HCGP-NT-CO_00276
CL1241Contig1	HCGP-NT-CO_00277
CL1242Contig1	HCGP-NT-CO_00278
CL1243Contig1	HCGP-NT-CO_00279
CL1244Contig1	HCGP-NT-CO_00280
CL1245Contig1	HCGP-NT-CO_00281
CL1246Contig1	HCGP-NT-CO_00282
CL1247Contig1	HCGP-NT-CO_00283
CL1248Contig1	HCGP-NT-CO_00284
CL1249Contig1	HCGP-NT-CO_00285
CL124Contig1	HCGP-NT-CO_00286
CL1250Contig1	HCGP-NT-CO_00287
CL1251Contig1	HCGP-NT-CO_00288
CL1252Contig1	HCGP-NT-CO_00289
CL1253Contig1	HCGP-NT-CO_00290
CL1254Contig1	HCGP-NT-CO_00291
CL1255Contig1	HCGP-NT-CO_00292
CL1256Contig1	HCGP-NT-CO_00293
CL1257Contig1	HCGP-NT-CO_00294
CL1258Contig1	HCGP-NT-CO_00295
CL1259Contig1	HCGP-NT-CO_00296
CL125Contig1	HCGP-NT-CO_00297
CL1260Contig1	HCGP-NT-CO_00298
CL1261Contig1	HCGP-NT-CO_00299
CL1262Contig1	HCGP-NT-CO_00300
CL1263Contig1	HCGP-NT-CO_00301
CL1264Contig1	HCGP-NT-CO_00302
CL1265Contig1	HCGP-NT-CO_00303
CL1266Contig1	HCGP-NT-CO_00304
CL1267Contig1	HCGP-NT-CO_00305
