#TGICL_NAME	CONTIG_NAME
CL1184Contig1	HCGP-ET-CO_00197
CL1185Contig1	HCGP-ET-CO_00198
CL1186Contig1	HCGP-ET-CO_00199
CL1187Contig1	HCGP-ET-CO_00200
CL1188Contig1	HCGP-ET-CO_00201
CL118Contig1	HCGP-ET-CO_00202
CL1190Contig1	HCGP-ET-CO_00203
CL1191Contig1	HCGP-ET-CO_00204
CL1192Contig1	HCGP-ET-CO_00205
CL1193Contig1	HCGP-ET-CO_00206
CL1194Contig1	HCGP-ET-CO_00207
CL1195Contig1	HCGP-ET-CO_00208
CL1196Contig1	HCGP-ET-CO_00209
CL1197Contig1	HCGP-ET-CO_00210
CL1198Contig1	HCGP-ET-CO_00211
CL1199Contig1	HCGP-ET-CO_00212
CL119Contig1	HCGP-ET-CO_00213
CL11Contig1	HCGP-ET-CO_00214
CL11Contig2	HCGP-ET-CO_00215
CL1200Contig1	HCGP-ET-CO_00216
CL1201Contig1	HCGP-ET-CO_00217
CL1202Contig1	HCGP-ET-CO_00218
CL1203Contig1	HCGP-ET-CO_00219
CL1204Contig1	HCGP-ET-CO_00220
CL1205Contig1	HCGP-ET-CO_00221
CL1207Contig1	HCGP-ET-CO_00222
CL1208Contig1	HCGP-ET-CO_00223
CL120Contig1	HCGP-ET-CO_00224
CL1210Contig1	HCGP-ET-CO_00225
CL1211Contig1	HCGP-ET-CO_00226
CL1212Contig1	HCGP-ET-CO_00227
CL1213Contig1	HCGP-ET-CO_00228
CL1214Contig1	HCGP-ET-CO_00229
CL1215Contig1	HCGP-ET-CO_00230
CL1216Contig1	HCGP-ET-CO_00231
CL1217Contig1	HCGP-ET-CO_00232
CL1218Contig1	HCGP-ET-CO_00233
CL1219Contig1	HCGP-ET-CO_00234
CL121Contig1	HCGP-ET-CO_00235
CL1220Contig1	HCGP-ET-CO_00236
CL1221Contig1	HCGP-ET-CO_00237
CL1223Contig1	HCGP-ET-CO_00238
CL1224Contig1	HCGP-ET-CO_00239
CL1225Contig1	HCGP-ET-CO_00240
CL1226Contig1	HCGP-ET-CO_00241
CL1228Contig1	HCGP-ET-CO_00242
CL1229Contig1	HCGP-ET-CO_00243
CL122Contig1	HCGP-ET-CO_00244
CL1230Contig1	HCGP-ET-CO_00245
CL1231Contig1	HCGP-ET-CO_00246
CL1232Contig1	HCGP-ET-CO_00247
CL1233Contig1	HCGP-ET-CO_00248
CL1234Contig1	HCGP-ET-CO_00249
CL1235Contig1	HCGP-ET-CO_00250
CL1236Contig1	HCGP-ET-CO_00251
CL1237Contig1	HCGP-ET-CO_00252
CL1238Contig1	HCGP-ET-CO_00253
CL1239Contig1	HCGP-ET-CO_00254
CL123Contig1	HCGP-ET-CO_00255
CL123Contig2	HCGP-ET-CO_00256
CL1240Contig1	HCGP-ET-CO_00257
CL1241Contig1	HCGP-ET-CO_00258
CL1242Contig1	HCGP-ET-CO_00259
CL1243Contig1	HCGP-ET-CO_00260
CL1244Contig1	HCGP-ET-CO_00261
CL1245Contig1	HCGP-ET-CO_00262
CL1246Contig1	HCGP-ET-CO_00263
CL1247Contig1	HCGP-ET-CO_00264
CL1248Contig1	HCGP-ET-CO_00265
CL1249Contig1	HCGP-ET-CO_00266
CL124Contig1	HCGP-ET-CO_00267
CL1250Contig1	HCGP-ET-CO_00268
CL1251Contig1	HCGP-ET-CO_00269
CL1252Contig1	HCGP-ET-CO_00270
CL1254Contig1	HCGP-ET-CO_00271
CL1255Contig1	HCGP-ET-CO_00272
CL1256Contig1	HCGP-ET-CO_00273
CL1258Contig1	HCGP-ET-CO_00274
CL1259Contig1	HCGP-ET-CO_00275
CL125Contig1	HCGP-ET-CO_00276
CL1260Contig1	HCGP-ET-CO_00277
CL1261Contig1	HCGP-ET-CO_00278
CL1262Contig1	HCGP-ET-CO_00279
CL1263Contig1	HCGP-ET-CO_00280
CL1265Contig1	HCGP-ET-CO_00281
CL1266Contig1	HCGP-ET-CO_00282
CL1267Contig1	HCGP-ET-CO_00283
CL1268Contig1	HCGP-ET-CO_00284
CL1269Contig1	HCGP-ET-CO_00285
CL126Contig1	HCGP-ET-CO_00286
CL1271Contig1	HCGP-ET-CO_00287
CL1272Contig1	HCGP-ET-CO_00288
CL1273Contig1	HCGP-ET-CO_00289
CL1274Contig1	HCGP-ET-CO_00290
CL1275Contig1	HCGP-ET-CO_00291
CL1277Contig1	HCGP-ET-CO_00292
CL1278Contig1	HCGP-ET-CO_00293
CL1279Contig1	HCGP-ET-CO_00294
CL127Contig1	HCGP-ET-CO_00295
CL127Contig2	HCGP-ET-CO_00296
CL1280Contig1	HCGP-ET-CO_00297
CL1281Contig1	HCGP-ET-CO_00298
CL1282Contig1	HCGP-ET-CO_00299
CL1283Contig1	HCGP-ET-CO_00300
CL1284Contig1	HCGP-ET-CO_00301
CL1285Contig1	HCGP-ET-CO_00302
CL1286Contig1	HCGP-ET-CO_00303
CL1287Contig1	HCGP-ET-CO_00304
CL1288Contig1	HCGP-ET-CO_00305
CL128Contig1	HCGP-ET-CO_00306
CL1290Contig1	HCGP-ET-CO_00307
CL1292Contig1	HCGP-ET-CO_00308
CL1293Contig1	HCGP-ET-CO_00309
CL1294Contig1	HCGP-ET-CO_00310
CL1295Contig1	HCGP-ET-CO_00311
CL1297Contig1	HCGP-ET-CO_00312
CL1298Contig1	HCGP-ET-CO_00313
CL1299Contig1	HCGP-ET-CO_00314
CL129Contig1	HCGP-ET-CO_00315
CL12Contig1	HCGP-ET-CO_00316
CL1300Contig1	HCGP-ET-CO_00317
CL1301Contig1	HCGP-ET-CO_00318
CL1302Contig1	HCGP-ET-CO_00319
CL1304Contig1	HCGP-ET-CO_00320
CL1305Contig1	HCGP-ET-CO_00321
CL1306Contig1	HCGP-ET-CO_00322
CL1309Contig1	HCGP-ET-CO_00323
CL130Contig1	HCGP-ET-CO_00324
CL1310Contig1	HCGP-ET-CO_00325
CL1311Contig1	HCGP-ET-CO_00326
CL1312Contig1	HCGP-ET-CO_00327
CL1313Contig1	HCGP-ET-CO_00328
