#TGICL_NAME	CONTIG_NAME
CL1Contig309	HCGP-ET-CO_01228
CL1Contig31	HCGP-ET-CO_01229
CL1Contig310	HCGP-ET-CO_01230
CL1Contig311	HCGP-ET-CO_01231
CL1Contig312	HCGP-ET-CO_01232
CL1Contig313	HCGP-ET-CO_01233
CL1Contig315	HCGP-ET-CO_01234
CL1Contig316	HCGP-ET-CO_01235
CL1Contig317	HCGP-ET-CO_01236
CL1Contig318	HCGP-ET-CO_01237
CL1Contig319	HCGP-ET-CO_01238
CL1Contig32	HCGP-ET-CO_01239
CL1Contig320	HCGP-ET-CO_01240
CL1Contig321	HCGP-ET-CO_01241
CL1Contig322	HCGP-ET-CO_01242
CL1Contig323	HCGP-ET-CO_01243
CL1Contig324	HCGP-ET-CO_01244
CL1Contig325	HCGP-ET-CO_01245
CL1Contig326	HCGP-ET-CO_01246
CL1Contig327	HCGP-ET-CO_01247
CL1Contig328	HCGP-ET-CO_01248
CL1Contig329	HCGP-ET-CO_01249
CL1Contig33	HCGP-ET-CO_01250
CL1Contig330	HCGP-ET-CO_01251
CL1Contig331	HCGP-ET-CO_01252
CL1Contig332	HCGP-ET-CO_01253
CL1Contig333	HCGP-ET-CO_01254
CL1Contig334	HCGP-ET-CO_01255
CL1Contig335	HCGP-ET-CO_01256
CL1Contig336	HCGP-ET-CO_01257
CL1Contig337	HCGP-ET-CO_01258
CL1Contig338	HCGP-ET-CO_01259
CL1Contig339	HCGP-ET-CO_01260
CL1Contig34	HCGP-ET-CO_01261
CL1Contig340	HCGP-ET-CO_01262
CL1Contig341	HCGP-ET-CO_01263
CL1Contig343	HCGP-ET-CO_01264
CL1Contig344	HCGP-ET-CO_01265
CL1Contig345	HCGP-ET-CO_01266
CL1Contig346	HCGP-ET-CO_01267
CL1Contig347	HCGP-ET-CO_01268
CL1Contig348	HCGP-ET-CO_01269
CL1Contig349	HCGP-ET-CO_01270
CL1Contig35	HCGP-ET-CO_01271
CL1Contig350	HCGP-ET-CO_01272
CL1Contig351	HCGP-ET-CO_01273
CL1Contig352	HCGP-ET-CO_01274
CL1Contig353	HCGP-ET-CO_01275
CL1Contig354	HCGP-ET-CO_01276
CL1Contig355	HCGP-ET-CO_01277
CL1Contig356	HCGP-ET-CO_01278
CL1Contig357	HCGP-ET-CO_01279
CL1Contig358	HCGP-ET-CO_01280
CL1Contig359	HCGP-ET-CO_01281
CL1Contig36	HCGP-ET-CO_01282
CL1Contig360	HCGP-ET-CO_01283
CL1Contig361	HCGP-ET-CO_01284
CL1Contig362	HCGP-ET-CO_01285
CL1Contig363	HCGP-ET-CO_01286
CL1Contig364	HCGP-ET-CO_01287
CL1Contig365	HCGP-ET-CO_01288
CL1Contig366	HCGP-ET-CO_01289
CL1Contig367	HCGP-ET-CO_01290
CL1Contig368	HCGP-ET-CO_01291
CL1Contig369	HCGP-ET-CO_01292
CL1Contig37	HCGP-ET-CO_01293
CL1Contig370	HCGP-ET-CO_01294
CL1Contig371	HCGP-ET-CO_01295
CL1Contig372	HCGP-ET-CO_01296
CL1Contig373	HCGP-ET-CO_01297
CL1Contig374	HCGP-ET-CO_01298
CL1Contig375	HCGP-ET-CO_01299
CL1Contig376	HCGP-ET-CO_01300
CL1Contig377	HCGP-ET-CO_01301
CL1Contig378	HCGP-ET-CO_01302
CL1Contig38	HCGP-ET-CO_01303
CL1Contig39	HCGP-ET-CO_01304
CL1Contig4	HCGP-ET-CO_01305
CL1Contig40	HCGP-ET-CO_01306
CL1Contig41	HCGP-ET-CO_01307
CL1Contig42	HCGP-ET-CO_01308
CL1Contig43	HCGP-ET-CO_01309
CL1Contig44	HCGP-ET-CO_01310
CL1Contig45	HCGP-ET-CO_01311
CL1Contig46	HCGP-ET-CO_01312
CL1Contig47	HCGP-ET-CO_01313
CL1Contig48	HCGP-ET-CO_01314
CL1Contig49	HCGP-ET-CO_01315
CL1Contig5	HCGP-ET-CO_01316
CL1Contig50	HCGP-ET-CO_01317
CL1Contig51	HCGP-ET-CO_01318
CL1Contig52	HCGP-ET-CO_01319
CL1Contig53	HCGP-ET-CO_01320
CL1Contig54	HCGP-ET-CO_01321
CL1Contig55	HCGP-ET-CO_01322
CL1Contig56	HCGP-ET-CO_01323
CL1Contig57	HCGP-ET-CO_01324
CL1Contig58	HCGP-ET-CO_01325
CL1Contig59	HCGP-ET-CO_01326
CL1Contig6	HCGP-ET-CO_01327
CL1Contig60	HCGP-ET-CO_01328
CL1Contig61	HCGP-ET-CO_01329
CL1Contig62	HCGP-ET-CO_01330
CL1Contig63	HCGP-ET-CO_01331
CL1Contig64	HCGP-ET-CO_01332
CL1Contig65	HCGP-ET-CO_01333
CL1Contig66	HCGP-ET-CO_01334
CL1Contig67	HCGP-ET-CO_01335
CL1Contig68	HCGP-ET-CO_01336
CL1Contig69	HCGP-ET-CO_01337
CL1Contig7	HCGP-ET-CO_01338
CL1Contig70	HCGP-ET-CO_01339
CL1Contig71	HCGP-ET-CO_01340
CL1Contig72	HCGP-ET-CO_01341
CL1Contig73	HCGP-ET-CO_01342
CL1Contig74	HCGP-ET-CO_01343
CL1Contig75	HCGP-ET-CO_01344
CL1Contig76	HCGP-ET-CO_01345
CL1Contig77	HCGP-ET-CO_01346
CL1Contig78	HCGP-ET-CO_01347
CL1Contig79	HCGP-ET-CO_01348
CL1Contig8	HCGP-ET-CO_01349
CL1Contig80	HCGP-ET-CO_01350
CL1Contig81	HCGP-ET-CO_01351
CL1Contig82	HCGP-ET-CO_01352
CL1Contig83	HCGP-ET-CO_01353
CL1Contig84	HCGP-ET-CO_01354
CL1Contig85	HCGP-ET-CO_01355
CL1Contig86	HCGP-ET-CO_01356
CL1Contig87	HCGP-ET-CO_01357
CL1Contig88	HCGP-ET-CO_01358
CL1Contig89	HCGP-ET-CO_01359
CL1Contig9	HCGP-ET-CO_01360
CL1Contig90	HCGP-ET-CO_01361
CL1Contig91	HCGP-ET-CO_01362
CL1Contig92	HCGP-ET-CO_01363
CL1Contig93	HCGP-ET-CO_01364
CL1Contig94	HCGP-ET-CO_01365
CL1Contig95	HCGP-ET-CO_01366
CL1Contig96	HCGP-ET-CO_01367
CL1Contig97	HCGP-ET-CO_01368
CL1Contig98	HCGP-ET-CO_01369
CL1Contig99	HCGP-ET-CO_01370
CL2001Contig1	HCGP-ET-CO_01371
CL2002Contig1	HCGP-ET-CO_01372
CL2003Contig1	HCGP-ET-CO_01373
CL2004Contig1	HCGP-ET-CO_01374
CL2005Contig1	HCGP-ET-CO_01375
CL2006Contig1	HCGP-ET-CO_01376
CL2007Contig1	HCGP-ET-CO_01377
CL2008Contig1	HCGP-ET-CO_01378
CL2009Contig1	HCGP-ET-CO_01379
CL200Contig1	HCGP-ET-CO_01380
CL2010Contig1	HCGP-ET-CO_01381
CL2013Contig1	HCGP-ET-CO_01382
CL2015Contig1	HCGP-ET-CO_01383
CL2016Contig1	HCGP-ET-CO_01384
CL2017Contig1	HCGP-ET-CO_01385
CL2018Contig1	HCGP-ET-CO_01386
CL2019Contig1	HCGP-ET-CO_01387
CL201Contig1	HCGP-ET-CO_01388
CL2020Contig1	HCGP-ET-CO_01389
CL2021Contig1	HCGP-ET-CO_01390
CL2023Contig1	HCGP-ET-CO_01391
CL2024Contig1	HCGP-ET-CO_01392
CL2025Contig1	HCGP-ET-CO_01393
CL2026Contig1	HCGP-ET-CO_01394
CL2029Contig1	HCGP-ET-CO_01395
CL202Contig1	HCGP-ET-CO_01396
CL2030Contig1	HCGP-ET-CO_01397
CL2031Contig1	HCGP-ET-CO_01398
CL2032Contig1	HCGP-ET-CO_01399
CL2033Contig1	HCGP-ET-CO_01400
CL2034Contig1	HCGP-ET-CO_01401
CL2035Contig1	HCGP-ET-CO_01402
CL2036Contig1	HCGP-ET-CO_01403
CL2037Contig1	HCGP-ET-CO_01404
CL2038Contig1	HCGP-ET-CO_01405
CL2039Contig1	HCGP-ET-CO_01406
CL203Contig1	HCGP-ET-CO_01407
CL2040Contig1	HCGP-ET-CO_01408
CL2042Contig1	HCGP-ET-CO_01409
CL2043Contig1	HCGP-ET-CO_01410
CL2044Contig1	HCGP-ET-CO_01411
CL2045Contig1	HCGP-ET-CO_01412
CL2046Contig1	HCGP-ET-CO_01413
CL2047Contig1	HCGP-ET-CO_01414
CL2049Contig1	HCGP-ET-CO_01415
CL204Contig1	HCGP-ET-CO_01416
CL204Contig2	HCGP-ET-CO_01417
CL2050Contig1	HCGP-ET-CO_01418
CL2051Contig1	HCGP-ET-CO_01419
CL2052Contig1	HCGP-ET-CO_01420
CL2053Contig1	HCGP-ET-CO_01421
CL2054Contig1	HCGP-ET-CO_01422
CL2055Contig1	HCGP-ET-CO_01423
CL2056Contig1	HCGP-ET-CO_01424
CL2057Contig1	HCGP-ET-CO_01425
CL2058Contig1	HCGP-ET-CO_01426
CL2059Contig1	HCGP-ET-CO_01427
CL205Contig1	HCGP-ET-CO_01428
CL2060Contig1	HCGP-ET-CO_01429
CL2061Contig1	HCGP-ET-CO_01430
CL2062Contig1	HCGP-ET-CO_01431
CL2063Contig1	HCGP-ET-CO_01432
CL2064Contig1	HCGP-ET-CO_01433
CL2065Contig1	HCGP-ET-CO_01434
CL2066Contig1	HCGP-ET-CO_01435
CL2067Contig1	HCGP-ET-CO_01436
CL2068Contig1	HCGP-ET-CO_01437
CL2069Contig1	HCGP-ET-CO_01438
CL206Contig1	HCGP-ET-CO_01439
CL2070Contig1	HCGP-ET-CO_01440
CL2071Contig1	HCGP-ET-CO_01441
CL2072Contig1	HCGP-ET-CO_01442
CL2073Contig1	HCGP-ET-CO_01443
CL2074Contig1	HCGP-ET-CO_01444
CL2075Contig1	HCGP-ET-CO_01445
CL2076Contig1	HCGP-ET-CO_01446
CL2077Contig1	HCGP-ET-CO_01447
CL2078Contig1	HCGP-ET-CO_01448
CL2079Contig1	HCGP-ET-CO_01449
CL207Contig1	HCGP-ET-CO_01450
CL2080Contig1	HCGP-ET-CO_01451
CL2081Contig1	HCGP-ET-CO_01452
CL2083Contig1	HCGP-ET-CO_01453
CL2084Contig1	HCGP-ET-CO_01454
CL2085Contig1	HCGP-ET-CO_01455
CL2086Contig1	HCGP-ET-CO_01456
CL2087Contig1	HCGP-ET-CO_01457
CL2088Contig1	HCGP-ET-CO_01458
CL2089Contig1	HCGP-ET-CO_01459
CL208Contig1	HCGP-ET-CO_01460
CL2090Contig1	HCGP-ET-CO_01461
CL2091Contig1	HCGP-ET-CO_01462
CL2092Contig1	HCGP-ET-CO_01463
CL2093Contig1	HCGP-ET-CO_01464
CL2094Contig1	HCGP-ET-CO_01465
CL2095Contig1	HCGP-ET-CO_01466
CL2096Contig1	HCGP-ET-CO_01467
CL2097Contig1	HCGP-ET-CO_01468
CL2099Contig1	HCGP-ET-CO_01469
CL209Contig1	HCGP-ET-CO_01470
CL20Contig1	HCGP-ET-CO_01471
CL20Contig2	HCGP-ET-CO_01472
CL20Contig3	HCGP-ET-CO_01473
CL20Contig4	HCGP-ET-CO_01474
CL2100Contig1	HCGP-ET-CO_01475
CL2101Contig1	HCGP-ET-CO_01476
CL2102Contig1	HCGP-ET-CO_01477
CL2103Contig1	HCGP-ET-CO_01478
CL2104Contig1	HCGP-ET-CO_01479
CL2105Contig1	HCGP-ET-CO_01480
CL2106Contig1	HCGP-ET-CO_01481
CL2107Contig1	HCGP-ET-CO_01482
CL2108Contig1	HCGP-ET-CO_01483
CL2109Contig1	HCGP-ET-CO_01484
CL210Contig1	HCGP-ET-CO_01485
CL2110Contig1	HCGP-ET-CO_01486
CL2111Contig1	HCGP-ET-CO_01487
CL2112Contig1	HCGP-ET-CO_01488
CL2113Contig1	HCGP-ET-CO_01489
CL2114Contig1	HCGP-ET-CO_01490
CL2115Contig1	HCGP-ET-CO_01491
CL2116Contig1	HCGP-ET-CO_01492
CL2117Contig1	HCGP-ET-CO_01493
CL2118Contig1	HCGP-ET-CO_01494
CL2119Contig1	HCGP-ET-CO_01495
CL211Contig1	HCGP-ET-CO_01496
CL2120Contig1	HCGP-ET-CO_01497
CL2121Contig1	HCGP-ET-CO_01498
CL2122Contig1	HCGP-ET-CO_01499
CL2123Contig1	HCGP-ET-CO_01500
CL2125Contig1	HCGP-ET-CO_01501
CL2126Contig1	HCGP-ET-CO_01502
CL2127Contig1	HCGP-ET-CO_01503
CL2128Contig1	HCGP-ET-CO_01504
CL2129Contig1	HCGP-ET-CO_01505
CL212Contig1	HCGP-ET-CO_01506
CL2130Contig1	HCGP-ET-CO_01507
CL2131Contig1	HCGP-ET-CO_01508
CL2132Contig1	HCGP-ET-CO_01509
CL2133Contig1	HCGP-ET-CO_01510
CL2134Contig1	HCGP-ET-CO_01511
CL2135Contig1	HCGP-ET-CO_01512
CL2136Contig1	HCGP-ET-CO_01513
CL2137Contig1	HCGP-ET-CO_01514
CL2138Contig1	HCGP-ET-CO_01515
CL2139Contig1	HCGP-ET-CO_01516
CL213Contig1	HCGP-ET-CO_01517
CL2140Contig1	HCGP-ET-CO_01518
CL2141Contig1	HCGP-ET-CO_01519
CL2142Contig1	HCGP-ET-CO_01520
CL2143Contig1	HCGP-ET-CO_01521
CL2144Contig1	HCGP-ET-CO_01522
CL2145Contig1	HCGP-ET-CO_01523
CL2146Contig1	HCGP-ET-CO_01524
CL2147Contig1	HCGP-ET-CO_01525
CL2148Contig1	HCGP-ET-CO_01526
CL2149Contig1	HCGP-ET-CO_01527
CL214Contig1	HCGP-ET-CO_01528
CL2150Contig1	HCGP-ET-CO_01529
CL2151Contig1	HCGP-ET-CO_01530
CL2152Contig1	HCGP-ET-CO_01531
CL2153Contig1	HCGP-ET-CO_01532
CL2154Contig1	HCGP-ET-CO_01533
CL2156Contig1	HCGP-ET-CO_01534
CL2157Contig1	HCGP-ET-CO_01535
CL2158Contig1	HCGP-ET-CO_01536
CL2159Contig1	HCGP-ET-CO_01537
CL215Contig1	HCGP-ET-CO_01538
CL2160Contig1	HCGP-ET-CO_01539
CL2161Contig1	HCGP-ET-CO_01540
CL2162Contig1	HCGP-ET-CO_01541
CL2163Contig1	HCGP-ET-CO_01542
CL2164Contig1	HCGP-ET-CO_01543
CL2165Contig1	HCGP-ET-CO_01544
CL2166Contig1	HCGP-ET-CO_01545
CL2167Contig1	HCGP-ET-CO_01546
CL2168Contig1	HCGP-ET-CO_01547
CL2169Contig1	HCGP-ET-CO_01548
CL216Contig1	HCGP-ET-CO_01549
CL2170Contig1	HCGP-ET-CO_01550
CL2171Contig1	HCGP-ET-CO_01551
CL2172Contig1	HCGP-ET-CO_01552
CL2173Contig1	HCGP-ET-CO_01553
CL2174Contig1	HCGP-ET-CO_01554
CL2175Contig1	HCGP-ET-CO_01555
CL2176Contig1	HCGP-ET-CO_01556
CL2177Contig1	HCGP-ET-CO_01557
CL2178Contig1	HCGP-ET-CO_01558
CL2179Contig1	HCGP-ET-CO_01559
CL2180Contig1	HCGP-ET-CO_01560
CL2181Contig1	HCGP-ET-CO_01561
CL2182Contig1	HCGP-ET-CO_01562
CL2183Contig1	HCGP-ET-CO_01563
CL2184Contig1	HCGP-ET-CO_01564
CL2185Contig1	HCGP-ET-CO_01565
CL2186Contig1	HCGP-ET-CO_01566
CL2187Contig1	HCGP-ET-CO_01567
CL2188Contig1	HCGP-ET-CO_01568
CL2189Contig1	HCGP-ET-CO_01569
CL218Contig1	HCGP-ET-CO_01570
CL2190Contig1	HCGP-ET-CO_01571
CL2191Contig1	HCGP-ET-CO_01572
CL2192Contig1	HCGP-ET-CO_01573
CL2193Contig1	HCGP-ET-CO_01574
CL2194Contig1	HCGP-ET-CO_01575
CL2195Contig1	HCGP-ET-CO_01576
CL2196Contig1	HCGP-ET-CO_01577
CL2197Contig1	HCGP-ET-CO_01578
CL2198Contig1	HCGP-ET-CO_01579
CL2199Contig1	HCGP-ET-CO_01580
CL21Contig1	HCGP-ET-CO_01581
CL21Contig2	HCGP-ET-CO_01582
CL21Contig3	HCGP-ET-CO_01583
CL21Contig4	HCGP-ET-CO_01584
CL21Contig5	HCGP-ET-CO_01585
CL21Contig6	HCGP-ET-CO_01586
CL2200Contig1	HCGP-ET-CO_01587
CL2201Contig1	HCGP-ET-CO_01588
CL2202Contig1	HCGP-ET-CO_01589
CL2203Contig1	HCGP-ET-CO_01590
CL2204Contig1	HCGP-ET-CO_01591
CL2205Contig1	HCGP-ET-CO_01592
CL2206Contig1	HCGP-ET-CO_01593
CL2207Contig1	HCGP-ET-CO_01594
CL2208Contig1	HCGP-ET-CO_01595
CL2209Contig1	HCGP-ET-CO_01596
CL220Contig1	HCGP-ET-CO_01597
CL2210Contig1	HCGP-ET-CO_01598
CL2211Contig1	HCGP-ET-CO_01599
CL2212Contig1	HCGP-ET-CO_01600
CL2213Contig1	HCGP-ET-CO_01601
CL2214Contig1	HCGP-ET-CO_01602
CL2215Contig1	HCGP-ET-CO_01603
CL2216Contig1	HCGP-ET-CO_01604
CL2217Contig1	HCGP-ET-CO_01605
CL2218Contig1	HCGP-ET-CO_01606
CL2219Contig1	HCGP-ET-CO_01607
CL221Contig1	HCGP-ET-CO_01608
CL2220Contig1	HCGP-ET-CO_01609
CL2221Contig1	HCGP-ET-CO_01610
CL2222Contig1	HCGP-ET-CO_01611
CL2223Contig1	HCGP-ET-CO_01612
CL2224Contig1	HCGP-ET-CO_01613
CL2225Contig1	HCGP-ET-CO_01614
CL2226Contig1	HCGP-ET-CO_01615
CL2227Contig1	HCGP-ET-CO_01616
CL2228Contig1	HCGP-ET-CO_01617
CL222Contig1	HCGP-ET-CO_01618
CL222Contig2	HCGP-ET-CO_01619
CL2230Contig1	HCGP-ET-CO_01620
CL2231Contig1	HCGP-ET-CO_01621
CL2232Contig1	HCGP-ET-CO_01622
CL2233Contig1	HCGP-ET-CO_01623
CL2234Contig1	HCGP-ET-CO_01624
CL2235Contig1	HCGP-ET-CO_01625
CL2236Contig1	HCGP-ET-CO_01626
CL2237Contig1	HCGP-ET-CO_01627
CL2238Contig1	HCGP-ET-CO_01628
CL223Contig1	HCGP-ET-CO_01629
CL2240Contig1	HCGP-ET-CO_01630
CL2241Contig1	HCGP-ET-CO_01631
CL2242Contig1	HCGP-ET-CO_01632
CL2243Contig1	HCGP-ET-CO_01633
CL2244Contig1	HCGP-ET-CO_01634
CL2245Contig1	HCGP-ET-CO_01635
CL2246Contig1	HCGP-ET-CO_01636
CL2247Contig1	HCGP-ET-CO_01637
CL2248Contig1	HCGP-ET-CO_01638
CL2249Contig1	HCGP-ET-CO_01639
CL224Contig1	HCGP-ET-CO_01640
CL2250Contig1	HCGP-ET-CO_01641
CL2251Contig1	HCGP-ET-CO_01642
CL2252Contig1	HCGP-ET-CO_01643
CL2253Contig1	HCGP-ET-CO_01644
CL2254Contig1	HCGP-ET-CO_01645
CL2255Contig1	HCGP-ET-CO_01646
CL2256Contig1	HCGP-ET-CO_01647
CL2257Contig1	HCGP-ET-CO_01648
CL2258Contig1	HCGP-ET-CO_01649
CL2259Contig1	HCGP-ET-CO_01650
CL225Contig1	HCGP-ET-CO_01651
CL2260Contig1	HCGP-ET-CO_01652
CL2261Contig1	HCGP-ET-CO_01653
CL2262Contig1	HCGP-ET-CO_01654
CL2263Contig1	HCGP-ET-CO_01655
CL2264Contig1	HCGP-ET-CO_01656
CL2265Contig1	HCGP-ET-CO_01657
CL2266Contig1	HCGP-ET-CO_01658
CL2267Contig1	HCGP-ET-CO_01659
CL2268Contig1	HCGP-ET-CO_01660
CL2269Contig1	HCGP-ET-CO_01661
CL226Contig1	HCGP-ET-CO_01662
CL2270Contig1	HCGP-ET-CO_01663
CL2271Contig1	HCGP-ET-CO_01664
CL2272Contig1	HCGP-ET-CO_01665
CL2273Contig1	HCGP-ET-CO_01666
CL2274Contig1	HCGP-ET-CO_01667
CL2275Contig1	HCGP-ET-CO_01668
CL2276Contig1	HCGP-ET-CO_01669
CL2277Contig1	HCGP-ET-CO_01670
CL2279Contig1	HCGP-ET-CO_01671
CL227Contig1	HCGP-ET-CO_01672
CL227Contig2	HCGP-ET-CO_01673
CL2280Contig1	HCGP-ET-CO_01674
CL2281Contig1	HCGP-ET-CO_01675
CL2282Contig1	HCGP-ET-CO_01676
CL2285Contig1	HCGP-ET-CO_01677
CL2286Contig1	HCGP-ET-CO_01678
CL2287Contig1	HCGP-ET-CO_01679
CL2288Contig1	HCGP-ET-CO_01680
CL2289Contig1	HCGP-ET-CO_01681
CL228Contig1	HCGP-ET-CO_01682
CL228Contig2	HCGP-ET-CO_01683
CL2290Contig1	HCGP-ET-CO_01684
CL2291Contig1	HCGP-ET-CO_01685
CL2292Contig1	HCGP-ET-CO_01686
CL2295Contig1	HCGP-ET-CO_01687
CL2296Contig1	HCGP-ET-CO_01688
CL2297Contig1	HCGP-ET-CO_01689
CL2298Contig1	HCGP-ET-CO_01690
CL2299Contig1	HCGP-ET-CO_01691
CL229Contig1	HCGP-ET-CO_01692
CL22Contig1	HCGP-ET-CO_01693
CL2300Contig1	HCGP-ET-CO_01694
CL2301Contig1	HCGP-ET-CO_01695
CL2302Contig1	HCGP-ET-CO_01696
CL2303Contig1	HCGP-ET-CO_01697
CL2304Contig1	HCGP-ET-CO_01698
CL2305Contig1	HCGP-ET-CO_01699
CL2306Contig1	HCGP-ET-CO_01700
CL2307Contig1	HCGP-ET-CO_01701
CL2308Contig1	HCGP-ET-CO_01702
CL2309Contig1	HCGP-ET-CO_01703
CL230Contig1	HCGP-ET-CO_01704
CL2310Contig1	HCGP-ET-CO_01705
CL2311Contig1	HCGP-ET-CO_01706
CL2312Contig1	HCGP-ET-CO_01707
CL2313Contig1	HCGP-ET-CO_01708
CL2314Contig1	HCGP-ET-CO_01709
CL2315Contig1	HCGP-ET-CO_01710
CL2316Contig1	HCGP-ET-CO_01711
CL2317Contig1	HCGP-ET-CO_01712
CL2318Contig1	HCGP-ET-CO_01713
CL2319Contig1	HCGP-ET-CO_01714
CL231Contig1	HCGP-ET-CO_01715
CL2321Contig1	HCGP-ET-CO_01716
CL2322Contig1	HCGP-ET-CO_01717
CL2323Contig1	HCGP-ET-CO_01718
CL2325Contig1	HCGP-ET-CO_01719
CL2326Contig1	HCGP-ET-CO_01720
CL2327Contig1	HCGP-ET-CO_01721
CL2328Contig1	HCGP-ET-CO_01722
CL2329Contig1	HCGP-ET-CO_01723
CL232Contig1	HCGP-ET-CO_01724
CL2330Contig1	HCGP-ET-CO_01725
CL2331Contig1	HCGP-ET-CO_01726
CL2332Contig1	HCGP-ET-CO_01727
CL2333Contig1	HCGP-ET-CO_01728
CL2334Contig1	HCGP-ET-CO_01729
CL2335Contig1	HCGP-ET-CO_01730
CL2336Contig1	HCGP-ET-CO_01731
CL2337Contig1	HCGP-ET-CO_01732
CL2338Contig1	HCGP-ET-CO_01733
CL2339Contig1	HCGP-ET-CO_01734
CL233Contig1	HCGP-ET-CO_01735
CL2340Contig1	HCGP-ET-CO_01736
CL2341Contig1	HCGP-ET-CO_01737
CL2342Contig1	HCGP-ET-CO_01738
CL2344Contig1	HCGP-ET-CO_01739
CL2345Contig1	HCGP-ET-CO_01740
CL2346Contig1	HCGP-ET-CO_01741
CL2347Contig1	HCGP-ET-CO_01742
CL2349Contig1	HCGP-ET-CO_01743
CL234Contig1	HCGP-ET-CO_01744
CL2350Contig1	HCGP-ET-CO_01745
CL2351Contig1	HCGP-ET-CO_01746
CL2352Contig1	HCGP-ET-CO_01747
CL2353Contig1	HCGP-ET-CO_01748
CL2355Contig1	HCGP-ET-CO_01749
CL2356Contig1	HCGP-ET-CO_01750
CL2357Contig1	HCGP-ET-CO_01751
CL2358Contig1	HCGP-ET-CO_01752
CL2359Contig1	HCGP-ET-CO_01753
CL235Contig1	HCGP-ET-CO_01754
CL2360Contig1	HCGP-ET-CO_01755
CL2361Contig1	HCGP-ET-CO_01756
CL2362Contig1	HCGP-ET-CO_01757
CL2363Contig1	HCGP-ET-CO_01758
CL2364Contig1	HCGP-ET-CO_01759
CL2365Contig1	HCGP-ET-CO_01760
CL2366Contig1	HCGP-ET-CO_01761
CL2368Contig1	HCGP-ET-CO_01762
CL2369Contig1	HCGP-ET-CO_01763
CL236Contig1	HCGP-ET-CO_01764
CL2370Contig1	HCGP-ET-CO_01765
CL2371Contig1	HCGP-ET-CO_01766
CL2372Contig1	HCGP-ET-CO_01767
CL2373Contig1	HCGP-ET-CO_01768
CL2378Contig1	HCGP-ET-CO_01769
CL2379Contig1	HCGP-ET-CO_01770
CL237Contig1	HCGP-ET-CO_01771
CL2380Contig1	HCGP-ET-CO_01772
CL2381Contig1	HCGP-ET-CO_01773
CL2382Contig1	HCGP-ET-CO_01774
CL2384Contig1	HCGP-ET-CO_01775
CL2385Contig1	HCGP-ET-CO_01776
CL2386Contig1	HCGP-ET-CO_01777
CL2387Contig1	HCGP-ET-CO_01778
CL2389Contig1	HCGP-ET-CO_01779
CL238Contig1	HCGP-ET-CO_01780
CL2390Contig1	HCGP-ET-CO_01781
CL2391Contig1	HCGP-ET-CO_01782
CL2392Contig1	HCGP-ET-CO_01783
CL2393Contig1	HCGP-ET-CO_01784
CL2394Contig1	HCGP-ET-CO_01785
CL2395Contig1	HCGP-ET-CO_01786
CL2396Contig1	HCGP-ET-CO_01787
CL2397Contig1	HCGP-ET-CO_01788
CL2399Contig1	HCGP-ET-CO_01789
CL239Contig1	HCGP-ET-CO_01790
CL23Contig1	HCGP-ET-CO_01791
CL2400Contig1	HCGP-ET-CO_01792
CL2401Contig1	HCGP-ET-CO_01793
CL2402Contig1	HCGP-ET-CO_01794
CL2403Contig1	HCGP-ET-CO_01795
CL2404Contig1	HCGP-ET-CO_01796
CL2405Contig1	HCGP-ET-CO_01797
CL2406Contig1	HCGP-ET-CO_01798
CL2407Contig1	HCGP-ET-CO_01799
CL2408Contig1	HCGP-ET-CO_01800
CL2409Contig1	HCGP-ET-CO_01801
CL240Contig1	HCGP-ET-CO_01802
CL2410Contig1	HCGP-ET-CO_01803
CL2411Contig1	HCGP-ET-CO_01804
CL2412Contig1	HCGP-ET-CO_01805
CL2414Contig1	HCGP-ET-CO_01806
CL2415Contig1	HCGP-ET-CO_01807
CL2417Contig1	HCGP-ET-CO_01808
CL2419Contig1	HCGP-ET-CO_01809
CL241Contig1	HCGP-ET-CO_01810
CL2420Contig1	HCGP-ET-CO_01811
CL2421Contig1	HCGP-ET-CO_01812
CL2422Contig1	HCGP-ET-CO_01813
CL2424Contig1	HCGP-ET-CO_01814
CL2425Contig1	HCGP-ET-CO_01815
CL2426Contig1	HCGP-ET-CO_01816
CL2428Contig1	HCGP-ET-CO_01817
CL242Contig1	HCGP-ET-CO_01818
CL2431Contig1	HCGP-ET-CO_01819
CL2432Contig1	HCGP-ET-CO_01820
CL2434Contig1	HCGP-ET-CO_01821
CL2435Contig1	HCGP-ET-CO_01822
CL2437Contig1	HCGP-ET-CO_01823
CL2438Contig1	HCGP-ET-CO_01824
CL2439Contig1	HCGP-ET-CO_01825
CL243Contig1	HCGP-ET-CO_01826
CL2440Contig1	HCGP-ET-CO_01827
CL2441Contig1	HCGP-ET-CO_01828
CL2442Contig1	HCGP-ET-CO_01829
CL2443Contig1	HCGP-ET-CO_01830
CL2444Contig1	HCGP-ET-CO_01831
CL2445Contig1	HCGP-ET-CO_01832
CL2446Contig1	HCGP-ET-CO_01833
CL2447Contig1	HCGP-ET-CO_01834
CL2448Contig1	HCGP-ET-CO_01835
CL2449Contig1	HCGP-ET-CO_01836
CL244Contig1	HCGP-ET-CO_01837
CL2450Contig1	HCGP-ET-CO_01838
CL2451Contig1	HCGP-ET-CO_01839
CL2452Contig1	HCGP-ET-CO_01840
CL2453Contig1	HCGP-ET-CO_01841
CL2454Contig1	HCGP-ET-CO_01842
CL2455Contig1	HCGP-ET-CO_01843
