#TGICL_NAME	CONTIG_NAME
CL1663Contig1	HCGP-TN-CO_00611
CL1664Contig1	HCGP-TN-CO_00612
CL1665Contig1	HCGP-TN-CO_00613
CL1666Contig1	HCGP-TN-CO_00614
CL1667Contig1	HCGP-TN-CO_00615
CL1669Contig1	HCGP-TN-CO_00616
CL166Contig1	HCGP-TN-CO_00617
CL166Contig2	HCGP-TN-CO_00618
CL1670Contig1	HCGP-TN-CO_00619
CL1671Contig1	HCGP-TN-CO_00620
CL1672Contig1	HCGP-TN-CO_00621
CL1673Contig1	HCGP-TN-CO_00622
CL1674Contig1	HCGP-TN-CO_00623
CL1675Contig1	HCGP-TN-CO_00624
CL1676Contig1	HCGP-TN-CO_00625
CL1677Contig1	HCGP-TN-CO_00626
CL1678Contig1	HCGP-TN-CO_00627
CL1679Contig1	HCGP-TN-CO_00628
CL167Contig1	HCGP-TN-CO_00629
CL1680Contig1	HCGP-TN-CO_00630
CL1681Contig1	HCGP-TN-CO_00631
CL1682Contig1	HCGP-TN-CO_00632
CL1683Contig1	HCGP-TN-CO_00633
CL1684Contig1	HCGP-TN-CO_00634
CL1685Contig1	HCGP-TN-CO_00635
CL1686Contig1	HCGP-TN-CO_00636
CL1687Contig1	HCGP-TN-CO_00637
CL1688Contig1	HCGP-TN-CO_00638
CL168Contig1	HCGP-TN-CO_00639
CL1690Contig1	HCGP-TN-CO_00640
CL1691Contig1	HCGP-TN-CO_00641
CL1692Contig1	HCGP-TN-CO_00642
CL1693Contig1	HCGP-TN-CO_00643
CL1694Contig1	HCGP-TN-CO_00644
CL1695Contig1	HCGP-TN-CO_00645
CL1696Contig1	HCGP-TN-CO_00646
CL1697Contig1	HCGP-TN-CO_00647
CL1699Contig1	HCGP-TN-CO_00648
CL169Contig1	HCGP-TN-CO_00649
CL16Contig1	HCGP-TN-CO_00650
CL1700Contig1	HCGP-TN-CO_00651
CL1701Contig1	HCGP-TN-CO_00652
CL1702Contig1	HCGP-TN-CO_00653
CL1703Contig1	HCGP-TN-CO_00654
CL1704Contig1	HCGP-TN-CO_00655
CL1705Contig1	HCGP-TN-CO_00656
CL1706Contig1	HCGP-TN-CO_00657
CL1707Contig1	HCGP-TN-CO_00658
CL1708Contig1	HCGP-TN-CO_00659
CL1709Contig1	HCGP-TN-CO_00660
CL170Contig1	HCGP-TN-CO_00661
CL1710Contig1	HCGP-TN-CO_00662
CL1711Contig1	HCGP-TN-CO_00663
CL1712Contig1	HCGP-TN-CO_00664
CL1713Contig1	HCGP-TN-CO_00665
CL1714Contig1	HCGP-TN-CO_00666
CL1715Contig1	HCGP-TN-CO_00667
CL1716Contig1	HCGP-TN-CO_00668
CL1717Contig1	HCGP-TN-CO_00669
CL1718Contig1	HCGP-TN-CO_00670
CL1719Contig1	HCGP-TN-CO_00671
CL171Contig1	HCGP-TN-CO_00672
CL1720Contig1	HCGP-TN-CO_00673
CL1721Contig1	HCGP-TN-CO_00674
CL1722Contig1	HCGP-TN-CO_00675
CL1723Contig1	HCGP-TN-CO_00676
CL1724Contig1	HCGP-TN-CO_00677
CL1725Contig1	HCGP-TN-CO_00678
CL1726Contig1	HCGP-TN-CO_00679
CL1727Contig1	HCGP-TN-CO_00680
CL1729Contig1	HCGP-TN-CO_00681
CL172Contig1	HCGP-TN-CO_00682
CL1730Contig1	HCGP-TN-CO_00683
CL1731Contig1	HCGP-TN-CO_00684
CL1732Contig1	HCGP-TN-CO_00685
CL1733Contig1	HCGP-TN-CO_00686
CL1734Contig1	HCGP-TN-CO_00687
CL1735Contig1	HCGP-TN-CO_00688
CL1736Contig1	HCGP-TN-CO_00689
CL1737Contig1	HCGP-TN-CO_00690
CL1738Contig1	HCGP-TN-CO_00691
CL1739Contig1	HCGP-TN-CO_00692
CL173Contig1	HCGP-TN-CO_00693
CL1740Contig1	HCGP-TN-CO_00694
CL1742Contig1	HCGP-TN-CO_00695
CL1743Contig1	HCGP-TN-CO_00696
CL1744Contig1	HCGP-TN-CO_00697
CL1745Contig1	HCGP-TN-CO_00698
CL1747Contig1	HCGP-TN-CO_00699
CL1748Contig1	HCGP-TN-CO_00700
CL1749Contig1	HCGP-TN-CO_00701
CL174Contig1	HCGP-TN-CO_00702
CL1750Contig1	HCGP-TN-CO_00703
CL1751Contig1	HCGP-TN-CO_00704
CL1752Contig1	HCGP-TN-CO_00705
CL1753Contig1	HCGP-TN-CO_00706
CL1755Contig1	HCGP-TN-CO_00707
CL1756Contig1	HCGP-TN-CO_00708
CL1757Contig1	HCGP-TN-CO_00709
CL1758Contig1	HCGP-TN-CO_00710
CL1759Contig1	HCGP-TN-CO_00711
CL175Contig1	HCGP-TN-CO_00712
CL1760Contig1	HCGP-TN-CO_00713
CL1761Contig1	HCGP-TN-CO_00714
CL1762Contig1	HCGP-TN-CO_00715
CL1763Contig1	HCGP-TN-CO_00716
CL1764Contig1	HCGP-TN-CO_00717
CL1765Contig1	HCGP-TN-CO_00718
CL1766Contig1	HCGP-TN-CO_00719
CL1767Contig1	HCGP-TN-CO_00720
CL1768Contig1	HCGP-TN-CO_00721
CL1769Contig1	HCGP-TN-CO_00722
CL176Contig1	HCGP-TN-CO_00723
CL176Contig2	HCGP-TN-CO_00724
CL1770Contig1	HCGP-TN-CO_00725
CL1771Contig1	HCGP-TN-CO_00726
CL1772Contig1	HCGP-TN-CO_00727
CL1773Contig1	HCGP-TN-CO_00728
CL1774Contig1	HCGP-TN-CO_00729
CL1775Contig1	HCGP-TN-CO_00730
CL1777Contig1	HCGP-TN-CO_00731
CL1778Contig1	HCGP-TN-CO_00732
CL1779Contig1	HCGP-TN-CO_00733
CL177Contig1	HCGP-TN-CO_00734
CL1780Contig1	HCGP-TN-CO_00735
CL1781Contig1	HCGP-TN-CO_00736
CL1782Contig1	HCGP-TN-CO_00737
CL1783Contig1	HCGP-TN-CO_00738
CL1784Contig1	HCGP-TN-CO_00739
CL1785Contig1	HCGP-TN-CO_00740
CL1786Contig1	HCGP-TN-CO_00741
CL1787Contig1	HCGP-TN-CO_00742
CL1788Contig1	HCGP-TN-CO_00743
CL1789Contig1	HCGP-TN-CO_00744
CL178Contig1	HCGP-TN-CO_00745
CL1790Contig1	HCGP-TN-CO_00746
CL1791Contig1	HCGP-TN-CO_00747
CL1792Contig1	HCGP-TN-CO_00748
CL1793Contig1	HCGP-TN-CO_00749
CL1794Contig1	HCGP-TN-CO_00750
CL1795Contig1	HCGP-TN-CO_00751
CL1796Contig1	HCGP-TN-CO_00752
CL1797Contig1	HCGP-TN-CO_00753
CL1798Contig1	HCGP-TN-CO_00754
CL1799Contig1	HCGP-TN-CO_00755
CL17Contig1	HCGP-TN-CO_00756
CL17Contig2	HCGP-TN-CO_00757
CL1800Contig1	HCGP-TN-CO_00758
CL1801Contig1	HCGP-TN-CO_00759
CL1802Contig1	HCGP-TN-CO_00760
CL1804Contig1	HCGP-TN-CO_00761
CL1805Contig1	HCGP-TN-CO_00762
CL1806Contig1	HCGP-TN-CO_00763
CL1807Contig1	HCGP-TN-CO_00764
CL1808Contig1	HCGP-TN-CO_00765
CL1809Contig1	HCGP-TN-CO_00766
CL180Contig1	HCGP-TN-CO_00767
CL1810Contig1	HCGP-TN-CO_00768
CL1811Contig1	HCGP-TN-CO_00769
CL1812Contig1	HCGP-TN-CO_00770
CL1813Contig1	HCGP-TN-CO_00771
CL1814Contig1	HCGP-TN-CO_00772
CL1815Contig1	HCGP-TN-CO_00773
CL1816Contig1	HCGP-TN-CO_00774
CL1817Contig1	HCGP-TN-CO_00775
CL1818Contig1	HCGP-TN-CO_00776
CL1819Contig1	HCGP-TN-CO_00777
CL181Contig1	HCGP-TN-CO_00778
CL1820Contig1	HCGP-TN-CO_00779
CL1821Contig1	HCGP-TN-CO_00780
CL1822Contig1	HCGP-TN-CO_00781
CL1823Contig1	HCGP-TN-CO_00782
CL1824Contig1	HCGP-TN-CO_00783
CL1825Contig1	HCGP-TN-CO_00784
CL1826Contig1	HCGP-TN-CO_00785
CL1827Contig1	HCGP-TN-CO_00786
CL1828Contig1	HCGP-TN-CO_00787
CL1829Contig1	HCGP-TN-CO_00788
CL182Contig1	HCGP-TN-CO_00789
CL1830Contig1	HCGP-TN-CO_00790
CL1831Contig1	HCGP-TN-CO_00791
CL1832Contig1	HCGP-TN-CO_00792
CL1833Contig1	HCGP-TN-CO_00793
CL1834Contig1	HCGP-TN-CO_00794
CL1835Contig1	HCGP-TN-CO_00795
CL1836Contig1	HCGP-TN-CO_00796
CL1837Contig1	HCGP-TN-CO_00797
CL1838Contig1	HCGP-TN-CO_00798
CL1839Contig1	HCGP-TN-CO_00799
CL183Contig1	HCGP-TN-CO_00800
CL1840Contig1	HCGP-TN-CO_00801
CL1841Contig1	HCGP-TN-CO_00802
CL1842Contig1	HCGP-TN-CO_00803
CL1843Contig1	HCGP-TN-CO_00804
CL1844Contig1	HCGP-TN-CO_00805
CL1845Contig1	HCGP-TN-CO_00806
CL1847Contig1	HCGP-TN-CO_00807
CL1848Contig1	HCGP-TN-CO_00808
CL1849Contig1	HCGP-TN-CO_00809
CL184Contig1	HCGP-TN-CO_00810
CL1851Contig1	HCGP-TN-CO_00811
CL1852Contig1	HCGP-TN-CO_00812
CL1853Contig1	HCGP-TN-CO_00813
CL1854Contig1	HCGP-TN-CO_00814
CL1856Contig1	HCGP-TN-CO_00815
CL1857Contig1	HCGP-TN-CO_00816
CL1858Contig1	HCGP-TN-CO_00817
CL1859Contig1	HCGP-TN-CO_00818
CL185Contig1	HCGP-TN-CO_00819
CL1860Contig1	HCGP-TN-CO_00820
CL1861Contig1	HCGP-TN-CO_00821
CL1862Contig1	HCGP-TN-CO_00822
CL1863Contig1	HCGP-TN-CO_00823
CL1864Contig1	HCGP-TN-CO_00824
CL1865Contig1	HCGP-TN-CO_00825
CL1868Contig1	HCGP-TN-CO_00826
CL1869Contig1	HCGP-TN-CO_00827
CL186Contig1	HCGP-TN-CO_00828
CL1870Contig1	HCGP-TN-CO_00829
CL1871Contig1	HCGP-TN-CO_00830
CL1872Contig1	HCGP-TN-CO_00831
CL1873Contig1	HCGP-TN-CO_00832
CL1874Contig1	HCGP-TN-CO_00833
CL1875Contig1	HCGP-TN-CO_00834
CL1876Contig1	HCGP-TN-CO_00835
CL1877Contig1	HCGP-TN-CO_00836
CL1878Contig1	HCGP-TN-CO_00837
CL187Contig2	HCGP-TN-CO_00838
CL1880Contig1	HCGP-TN-CO_00839
CL1881Contig1	HCGP-TN-CO_00840
CL1882Contig1	HCGP-TN-CO_00841
CL1883Contig1	HCGP-TN-CO_00842
CL1884Contig1	HCGP-TN-CO_00843
CL1885Contig1	HCGP-TN-CO_00844
CL1886Contig1	HCGP-TN-CO_00845
CL1887Contig1	HCGP-TN-CO_00846
CL1888Contig1	HCGP-TN-CO_00847
CL1889Contig1	HCGP-TN-CO_00848
CL188Contig1	HCGP-TN-CO_00849
CL1890Contig1	HCGP-TN-CO_00850
CL1891Contig1	HCGP-TN-CO_00851
CL1892Contig1	HCGP-TN-CO_00852
CL1893Contig1	HCGP-TN-CO_00853
CL1894Contig1	HCGP-TN-CO_00854
CL1895Contig1	HCGP-TN-CO_00855
CL1896Contig1	HCGP-TN-CO_00856
CL1897Contig1	HCGP-TN-CO_00857
CL1898Contig1	HCGP-TN-CO_00858
CL1899Contig1	HCGP-TN-CO_00859
CL189Contig1	HCGP-TN-CO_00860
CL18Contig1	HCGP-TN-CO_00861
CL18Contig2	HCGP-TN-CO_00862
CL1901Contig1	HCGP-TN-CO_00863
CL1902Contig1	HCGP-TN-CO_00864
CL1903Contig1	HCGP-TN-CO_00865
CL1904Contig1	HCGP-TN-CO_00866
CL1905Contig1	HCGP-TN-CO_00867
CL1906Contig1	HCGP-TN-CO_00868
CL1907Contig1	HCGP-TN-CO_00869
CL1909Contig1	HCGP-TN-CO_00870
CL190Contig1	HCGP-TN-CO_00871
CL1910Contig1	HCGP-TN-CO_00872
CL1911Contig1	HCGP-TN-CO_00873
CL1912Contig1	HCGP-TN-CO_00874
CL1915Contig1	HCGP-TN-CO_00875
CL1916Contig1	HCGP-TN-CO_00876
CL1917Contig1	HCGP-TN-CO_00877
CL1918Contig1	HCGP-TN-CO_00878
CL1919Contig1	HCGP-TN-CO_00879
CL191Contig1	HCGP-TN-CO_00880
CL1920Contig1	HCGP-TN-CO_00881
CL1921Contig1	HCGP-TN-CO_00882
CL1922Contig1	HCGP-TN-CO_00883
CL1923Contig1	HCGP-TN-CO_00884
CL1924Contig1	HCGP-TN-CO_00885
CL1925Contig1	HCGP-TN-CO_00886
CL1926Contig1	HCGP-TN-CO_00887
CL1927Contig1	HCGP-TN-CO_00888
CL1928Contig1	HCGP-TN-CO_00889
CL1929Contig1	HCGP-TN-CO_00890
CL192Contig1	HCGP-TN-CO_00891
CL1930Contig1	HCGP-TN-CO_00892
CL1932Contig1	HCGP-TN-CO_00893
CL1933Contig1	HCGP-TN-CO_00894
CL1934Contig1	HCGP-TN-CO_00895
CL1936Contig1	HCGP-TN-CO_00896
CL1937Contig1	HCGP-TN-CO_00897
CL1938Contig1	HCGP-TN-CO_00898
CL1939Contig1	HCGP-TN-CO_00899
CL193Contig1	HCGP-TN-CO_00900
CL1940Contig1	HCGP-TN-CO_00901
CL1941Contig1	HCGP-TN-CO_00902
CL1942Contig1	HCGP-TN-CO_00903
CL1943Contig1	HCGP-TN-CO_00904
CL1944Contig1	HCGP-TN-CO_00905
CL1945Contig1	HCGP-TN-CO_00906
CL1946Contig1	HCGP-TN-CO_00907
CL1947Contig1	HCGP-TN-CO_00908
CL1948Contig1	HCGP-TN-CO_00909
CL1949Contig1	HCGP-TN-CO_00910
CL194Contig1	HCGP-TN-CO_00911
CL1950Contig1	HCGP-TN-CO_00912
CL1951Contig1	HCGP-TN-CO_00913
CL1952Contig1	HCGP-TN-CO_00914
CL1954Contig1	HCGP-TN-CO_00915
CL1955Contig1	HCGP-TN-CO_00916
CL1956Contig1	HCGP-TN-CO_00917
CL1957Contig1	HCGP-TN-CO_00918
CL1958Contig1	HCGP-TN-CO_00919
CL1959Contig1	HCGP-TN-CO_00920
CL195Contig1	HCGP-TN-CO_00921
CL1960Contig1	HCGP-TN-CO_00922
CL1961Contig1	HCGP-TN-CO_00923
CL1962Contig1	HCGP-TN-CO_00924
CL1963Contig1	HCGP-TN-CO_00925
CL1964Contig1	HCGP-TN-CO_00926
CL1965Contig1	HCGP-TN-CO_00927
CL1967Contig1	HCGP-TN-CO_00928
CL1968Contig1	HCGP-TN-CO_00929
CL1969Contig1	HCGP-TN-CO_00930
CL196Contig1	HCGP-TN-CO_00931
CL1970Contig1	HCGP-TN-CO_00932
CL1971Contig1	HCGP-TN-CO_00933
CL1972Contig1	HCGP-TN-CO_00934
CL1973Contig1	HCGP-TN-CO_00935
CL1974Contig1	HCGP-TN-CO_00936
CL1975Contig1	HCGP-TN-CO_00937
CL1976Contig1	HCGP-TN-CO_00938
CL1977Contig1	HCGP-TN-CO_00939
CL1978Contig1	HCGP-TN-CO_00940
CL1979Contig1	HCGP-TN-CO_00941
CL197Contig1	HCGP-TN-CO_00942
CL1980Contig1	HCGP-TN-CO_00943
CL1981Contig1	HCGP-TN-CO_00944
CL1982Contig1	HCGP-TN-CO_00945
CL1983Contig1	HCGP-TN-CO_00946
CL1984Contig1	HCGP-TN-CO_00947
CL1986Contig1	HCGP-TN-CO_00948
CL1987Contig1	HCGP-TN-CO_00949
CL1988Contig1	HCGP-TN-CO_00950
CL1989Contig1	HCGP-TN-CO_00951
CL198Contig1	HCGP-TN-CO_00952
CL1990Contig1	HCGP-TN-CO_00953
CL1991Contig1	HCGP-TN-CO_00954
CL1992Contig1	HCGP-TN-CO_00955
CL1993Contig1	HCGP-TN-CO_00956
CL1994Contig1	HCGP-TN-CO_00957
CL1995Contig1	HCGP-TN-CO_00958
CL1996Contig1	HCGP-TN-CO_00959
CL1997Contig1	HCGP-TN-CO_00960
CL1998Contig1	HCGP-TN-CO_00961
CL1999Contig1	HCGP-TN-CO_00962
CL199Contig1	HCGP-TN-CO_00963
CL19Contig1	HCGP-TN-CO_00964
CL19Contig2	HCGP-TN-CO_00965
CL1Contig1	HCGP-TN-CO_00966
CL1Contig12	HCGP-TN-CO_00967
CL1Contig13	HCGP-TN-CO_00968
CL1Contig14	HCGP-TN-CO_00969
CL1Contig15	HCGP-TN-CO_00970
CL1Contig16	HCGP-TN-CO_00971
CL1Contig17	HCGP-TN-CO_00972
CL1Contig18	HCGP-TN-CO_00973
CL1Contig19	HCGP-TN-CO_00974
CL1Contig2	HCGP-TN-CO_00975
CL1Contig20	HCGP-TN-CO_00976
CL1Contig21	HCGP-TN-CO_00977
CL1Contig22	HCGP-TN-CO_00978
CL1Contig23	HCGP-TN-CO_00979
CL1Contig24	HCGP-TN-CO_00980
CL1Contig25	HCGP-TN-CO_00981
CL1Contig26	HCGP-TN-CO_00982
CL1Contig27	HCGP-TN-CO_00983
CL1Contig28	HCGP-TN-CO_00984
CL1Contig29	HCGP-TN-CO_00985
CL1Contig3	HCGP-TN-CO_00986
CL1Contig30	HCGP-TN-CO_00987
CL1Contig31	HCGP-TN-CO_00988
CL1Contig32	HCGP-TN-CO_00989
CL1Contig33	HCGP-TN-CO_00990
CL1Contig34	HCGP-TN-CO_00991
CL1Contig35	HCGP-TN-CO_00992
CL1Contig36	HCGP-TN-CO_00993
CL1Contig38	HCGP-TN-CO_00994
CL1Contig39	HCGP-TN-CO_00995
CL1Contig4	HCGP-TN-CO_00996
CL1Contig40	HCGP-TN-CO_00997
CL1Contig41	HCGP-TN-CO_00998
CL1Contig42	HCGP-TN-CO_00999
CL1Contig43	HCGP-TN-CO_01000
CL1Contig44	HCGP-TN-CO_01001
CL1Contig45	HCGP-TN-CO_01002
CL1Contig46	HCGP-TN-CO_01003
CL1Contig47	HCGP-TN-CO_01004
CL1Contig48	HCGP-TN-CO_01005
CL1Contig49	HCGP-TN-CO_01006
CL1Contig5	HCGP-TN-CO_01007
CL1Contig50	HCGP-TN-CO_01008
CL1Contig51	HCGP-TN-CO_01009
CL1Contig52	HCGP-TN-CO_01010
CL1Contig53	HCGP-TN-CO_01011
CL1Contig54	HCGP-TN-CO_01012
CL1Contig55	HCGP-TN-CO_01013
CL1Contig56	HCGP-TN-CO_01014
CL1Contig57	HCGP-TN-CO_01015
CL1Contig58	HCGP-TN-CO_01016
CL1Contig6	HCGP-TN-CO_01017
CL2000Contig1	HCGP-TN-CO_01018
CL2001Contig1	HCGP-TN-CO_01019
CL2002Contig1	HCGP-TN-CO_01020
CL2003Contig1	HCGP-TN-CO_01021
CL2004Contig1	HCGP-TN-CO_01022
CL2005Contig1	HCGP-TN-CO_01023
CL2006Contig1	HCGP-TN-CO_01024
CL2007Contig1	HCGP-TN-CO_01025
CL2008Contig1	HCGP-TN-CO_01026
CL2009Contig1	HCGP-TN-CO_01027
CL200Contig1	HCGP-TN-CO_01028
CL2010Contig1	HCGP-TN-CO_01029
CL2012Contig1	HCGP-TN-CO_01030
CL2013Contig1	HCGP-TN-CO_01031
CL2014Contig1	HCGP-TN-CO_01032
CL2015Contig1	HCGP-TN-CO_01033
CL2016Contig1	HCGP-TN-CO_01034
CL2017Contig1	HCGP-TN-CO_01035
CL2019Contig1	HCGP-TN-CO_01036
CL201Contig1	HCGP-TN-CO_01037
CL201Contig2	HCGP-TN-CO_01038
CL2020Contig1	HCGP-TN-CO_01039
CL2021Contig1	HCGP-TN-CO_01040
CL2022Contig1	HCGP-TN-CO_01041
CL2023Contig1	HCGP-TN-CO_01042
CL2024Contig1	HCGP-TN-CO_01043
CL2025Contig1	HCGP-TN-CO_01044
CL2026Contig1	HCGP-TN-CO_01045
CL2027Contig1	HCGP-TN-CO_01046
CL2028Contig1	HCGP-TN-CO_01047
CL2029Contig1	HCGP-TN-CO_01048
CL202Contig1	HCGP-TN-CO_01049
CL2030Contig1	HCGP-TN-CO_01050
CL2031Contig1	HCGP-TN-CO_01051
CL2032Contig1	HCGP-TN-CO_01052
CL2033Contig1	HCGP-TN-CO_01053
CL2034Contig1	HCGP-TN-CO_01054
CL2035Contig1	HCGP-TN-CO_01055
CL2036Contig1	HCGP-TN-CO_01056
CL2038Contig1	HCGP-TN-CO_01057
CL203Contig1	HCGP-TN-CO_01058
CL2040Contig1	HCGP-TN-CO_01059
CL2041Contig1	HCGP-TN-CO_01060
CL2042Contig1	HCGP-TN-CO_01061
CL2043Contig1	HCGP-TN-CO_01062
CL2044Contig1	HCGP-TN-CO_01063
CL2045Contig1	HCGP-TN-CO_01064
CL2046Contig1	HCGP-TN-CO_01065
CL2047Contig1	HCGP-TN-CO_01066
CL2048Contig1	HCGP-TN-CO_01067
CL2049Contig1	HCGP-TN-CO_01068
CL204Contig1	HCGP-TN-CO_01069
CL2050Contig1	HCGP-TN-CO_01070
CL2051Contig1	HCGP-TN-CO_01071
CL2053Contig1	HCGP-TN-CO_01072
CL2055Contig1	HCGP-TN-CO_01073
CL2056Contig1	HCGP-TN-CO_01074
CL2057Contig1	HCGP-TN-CO_01075
CL2058Contig1	HCGP-TN-CO_01076
CL2059Contig1	HCGP-TN-CO_01077
CL205Contig1	HCGP-TN-CO_01078
CL2060Contig1	HCGP-TN-CO_01079
CL2061Contig1	HCGP-TN-CO_01080
CL2062Contig1	HCGP-TN-CO_01081
CL2063Contig1	HCGP-TN-CO_01082
CL2064Contig1	HCGP-TN-CO_01083
CL2065Contig1	HCGP-TN-CO_01084
CL2066Contig1	HCGP-TN-CO_01085
CL2067Contig1	HCGP-TN-CO_01086
CL2068Contig1	HCGP-TN-CO_01087
CL2069Contig1	HCGP-TN-CO_01088
CL206Contig1	HCGP-TN-CO_01089
CL2070Contig1	HCGP-TN-CO_01090
CL2071Contig1	HCGP-TN-CO_01091
CL2072Contig1	HCGP-TN-CO_01092
CL2074Contig1	HCGP-TN-CO_01093
CL2075Contig1	HCGP-TN-CO_01094
CL2076Contig1	HCGP-TN-CO_01095
CL2077Contig1	HCGP-TN-CO_01096
CL2078Contig1	HCGP-TN-CO_01097
CL2079Contig1	HCGP-TN-CO_01098
CL207Contig1	HCGP-TN-CO_01099
CL2080Contig1	HCGP-TN-CO_01100
CL2081Contig1	HCGP-TN-CO_01101
CL2083Contig1	HCGP-TN-CO_01102
CL2084Contig1	HCGP-TN-CO_01103
CL2085Contig1	HCGP-TN-CO_01104
CL2086Contig1	HCGP-TN-CO_01105
CL2087Contig1	HCGP-TN-CO_01106
CL208Contig1	HCGP-TN-CO_01107
CL2090Contig1	HCGP-TN-CO_01108
CL2091Contig1	HCGP-TN-CO_01109
CL2092Contig1	HCGP-TN-CO_01110
CL2093Contig1	HCGP-TN-CO_01111
CL2094Contig1	HCGP-TN-CO_01112
CL2095Contig1	HCGP-TN-CO_01113
CL2096Contig1	HCGP-TN-CO_01114
CL2097Contig1	HCGP-TN-CO_01115
CL2098Contig1	HCGP-TN-CO_01116
CL2099Contig1	HCGP-TN-CO_01117
CL209Contig1	HCGP-TN-CO_01118
CL20Contig1	HCGP-TN-CO_01119
CL2100Contig1	HCGP-TN-CO_01120
CL2102Contig1	HCGP-TN-CO_01121
CL2103Contig1	HCGP-TN-CO_01122
CL2104Contig1	HCGP-TN-CO_01123
CL2108Contig1	HCGP-TN-CO_01124
CL2109Contig1	HCGP-TN-CO_01125
CL210Contig1	HCGP-TN-CO_01126
CL2110Contig1	HCGP-TN-CO_01127
CL2111Contig1	HCGP-TN-CO_01128
CL2112Contig1	HCGP-TN-CO_01129
CL2113Contig1	HCGP-TN-CO_01130
CL2114Contig1	HCGP-TN-CO_01131
CL2116Contig1	HCGP-TN-CO_01132
CL2117Contig1	HCGP-TN-CO_01133
CL2119Contig1	HCGP-TN-CO_01134
CL211Contig1	HCGP-TN-CO_01135
CL2120Contig1	HCGP-TN-CO_01136
CL2121Contig1	HCGP-TN-CO_01137
CL2124Contig1	HCGP-TN-CO_01138
CL2125Contig1	HCGP-TN-CO_01139
CL2126Contig1	HCGP-TN-CO_01140
CL2127Contig1	HCGP-TN-CO_01141
CL2129Contig1	HCGP-TN-CO_01142
CL212Contig1	HCGP-TN-CO_01143
CL2130Contig1	HCGP-TN-CO_01144
CL2131Contig1	HCGP-TN-CO_01145
CL2132Contig1	HCGP-TN-CO_01146
CL2133Contig1	HCGP-TN-CO_01147
CL2135Contig1	HCGP-TN-CO_01148
CL2136Contig1	HCGP-TN-CO_01149
CL2137Contig1	HCGP-TN-CO_01150
CL2138Contig1	HCGP-TN-CO_01151
CL2139Contig1	HCGP-TN-CO_01152
CL213Contig1	HCGP-TN-CO_01153
CL2140Contig1	HCGP-TN-CO_01154
CL2141Contig1	HCGP-TN-CO_01155
CL2142Contig1	HCGP-TN-CO_01156
CL2144Contig1	HCGP-TN-CO_01157
CL2145Contig1	HCGP-TN-CO_01158
CL2146Contig1	HCGP-TN-CO_01159
CL2147Contig1	HCGP-TN-CO_01160
CL2148Contig1	HCGP-TN-CO_01161
CL2149Contig1	HCGP-TN-CO_01162
CL214Contig1	HCGP-TN-CO_01163
CL2150Contig1	HCGP-TN-CO_01164
CL2151Contig1	HCGP-TN-CO_01165
CL2152Contig1	HCGP-TN-CO_01166
CL2153Contig1	HCGP-TN-CO_01167
CL2154Contig1	HCGP-TN-CO_01168
CL2155Contig1	HCGP-TN-CO_01169
CL2156Contig1	HCGP-TN-CO_01170
CL2157Contig1	HCGP-TN-CO_01171
CL2158Contig1	HCGP-TN-CO_01172
CL2159Contig1	HCGP-TN-CO_01173
CL215Contig1	HCGP-TN-CO_01174
CL2161Contig1	HCGP-TN-CO_01175
CL2162Contig1	HCGP-TN-CO_01176
CL2163Contig1	HCGP-TN-CO_01177
CL2164Contig1	HCGP-TN-CO_01178
CL2165Contig1	HCGP-TN-CO_01179
CL2167Contig1	HCGP-TN-CO_01180
CL2168Contig1	HCGP-TN-CO_01181
CL2169Contig1	HCGP-TN-CO_01182
CL216Contig1	HCGP-TN-CO_01183
CL216Contig2	HCGP-TN-CO_01184
CL2170Contig1	HCGP-TN-CO_01185
CL2171Contig1	HCGP-TN-CO_01186
CL2172Contig1	HCGP-TN-CO_01187
CL2173Contig1	HCGP-TN-CO_01188
CL2174Contig1	HCGP-TN-CO_01189
CL2175Contig1	HCGP-TN-CO_01190
CL2176Contig1	HCGP-TN-CO_01191
CL2177Contig1	HCGP-TN-CO_01192
CL2178Contig1	HCGP-TN-CO_01193
CL2179Contig1	HCGP-TN-CO_01194
CL217Contig1	HCGP-TN-CO_01195
CL2180Contig1	HCGP-TN-CO_01196
CL2181Contig1	HCGP-TN-CO_01197
CL2182Contig1	HCGP-TN-CO_01198
CL2183Contig1	HCGP-TN-CO_01199
CL2184Contig1	HCGP-TN-CO_01200
CL2186Contig1	HCGP-TN-CO_01201
CL2187Contig1	HCGP-TN-CO_01202
CL2189Contig1	HCGP-TN-CO_01203
CL218Contig1	HCGP-TN-CO_01204
CL2190Contig1	HCGP-TN-CO_01205
CL2192Contig1	HCGP-TN-CO_01206
CL2193Contig1	HCGP-TN-CO_01207
CL2194Contig1	HCGP-TN-CO_01208
CL2195Contig1	HCGP-TN-CO_01209
CL2196Contig1	HCGP-TN-CO_01210
CL2197Contig1	HCGP-TN-CO_01211
CL2198Contig1	HCGP-TN-CO_01212
CL2199Contig1	HCGP-TN-CO_01213
CL219Contig1	HCGP-TN-CO_01214
CL21Contig1	HCGP-TN-CO_01215
CL21Contig2	HCGP-TN-CO_01216
CL2200Contig1	HCGP-TN-CO_01217
CL2201Contig1	HCGP-TN-CO_01218
CL2202Contig1	HCGP-TN-CO_01219
CL2203Contig1	HCGP-TN-CO_01220
CL2205Contig1	HCGP-TN-CO_01221
CL2207Contig1	HCGP-TN-CO_01222
CL2208Contig1	HCGP-TN-CO_01223
