#TGICL_NAME	CONTIG_NAME
CL1286Contig1	HCGP-FT-CO_00246
CL1288Contig1	HCGP-FT-CO_00247
CL1289Contig1	HCGP-FT-CO_00248
CL128Contig1	HCGP-FT-CO_00249
CL128Contig2	HCGP-FT-CO_00250
CL1290Contig1	HCGP-FT-CO_00251
CL1291Contig1	HCGP-FT-CO_00252
CL1292Contig1	HCGP-FT-CO_00253
CL1293Contig1	HCGP-FT-CO_00254
CL1294Contig1	HCGP-FT-CO_00255
CL1295Contig1	HCGP-FT-CO_00256
CL1296Contig1	HCGP-FT-CO_00257
CL1297Contig1	HCGP-FT-CO_00258
CL1299Contig1	HCGP-FT-CO_00259
CL129Contig1	HCGP-FT-CO_00260
CL12Contig1	HCGP-FT-CO_00261
CL1300Contig1	HCGP-FT-CO_00262
CL1301Contig1	HCGP-FT-CO_00263
CL1302Contig1	HCGP-FT-CO_00264
CL1303Contig1	HCGP-FT-CO_00265
CL1304Contig1	HCGP-FT-CO_00266
CL1305Contig1	HCGP-FT-CO_00267
CL1306Contig1	HCGP-FT-CO_00268
CL1309Contig1	HCGP-FT-CO_00269
CL130Contig1	HCGP-FT-CO_00270
CL1310Contig1	HCGP-FT-CO_00271
CL1311Contig1	HCGP-FT-CO_00272
CL1312Contig1	HCGP-FT-CO_00273
CL1313Contig1	HCGP-FT-CO_00274
CL1314Contig1	HCGP-FT-CO_00275
CL1315Contig1	HCGP-FT-CO_00276
CL1316Contig1	HCGP-FT-CO_00277
CL1318Contig1	HCGP-FT-CO_00278
CL1319Contig1	HCGP-FT-CO_00279
CL131Contig1	HCGP-FT-CO_00280
CL1320Contig1	HCGP-FT-CO_00281
CL1321Contig1	HCGP-FT-CO_00282
CL1322Contig1	HCGP-FT-CO_00283
CL1324Contig1	HCGP-FT-CO_00284
CL1325Contig1	HCGP-FT-CO_00285
CL1326Contig1	HCGP-FT-CO_00286
CL1327Contig1	HCGP-FT-CO_00287
CL132Contig1	HCGP-FT-CO_00288
CL1331Contig1	HCGP-FT-CO_00289
CL1332Contig1	HCGP-FT-CO_00290
CL1333Contig1	HCGP-FT-CO_00291
CL1335Contig1	HCGP-FT-CO_00292
CL1336Contig1	HCGP-FT-CO_00293
CL1337Contig1	HCGP-FT-CO_00294
CL1339Contig1	HCGP-FT-CO_00295
CL133Contig1	HCGP-FT-CO_00296
CL1341Contig1	HCGP-FT-CO_00297
CL1342Contig1	HCGP-FT-CO_00298
CL1344Contig1	HCGP-FT-CO_00299
CL1345Contig1	HCGP-FT-CO_00300
CL1346Contig1	HCGP-FT-CO_00301
CL1347Contig1	HCGP-FT-CO_00302
CL134Contig1	HCGP-FT-CO_00303
CL1350Contig1	HCGP-FT-CO_00304
CL1351Contig1	HCGP-FT-CO_00305
CL1354Contig1	HCGP-FT-CO_00306
CL1356Contig1	HCGP-FT-CO_00307
CL1357Contig1	HCGP-FT-CO_00308
CL1358Contig1	HCGP-FT-CO_00309
CL1359Contig1	HCGP-FT-CO_00310
CL135Contig1	HCGP-FT-CO_00311
CL1360Contig1	HCGP-FT-CO_00312
CL1361Contig1	HCGP-FT-CO_00313
CL1362Contig1	HCGP-FT-CO_00314
CL1363Contig1	HCGP-FT-CO_00315
CL1364Contig1	HCGP-FT-CO_00316
CL1365Contig1	HCGP-FT-CO_00317
CL1367Contig1	HCGP-FT-CO_00318
CL1368Contig1	HCGP-FT-CO_00319
CL1369Contig1	HCGP-FT-CO_00320
CL136Contig1	HCGP-FT-CO_00321
CL1370Contig1	HCGP-FT-CO_00322
CL1371Contig1	HCGP-FT-CO_00323
CL1372Contig1	HCGP-FT-CO_00324
CL1374Contig1	HCGP-FT-CO_00325
CL1375Contig1	HCGP-FT-CO_00326
CL1376Contig1	HCGP-FT-CO_00327
CL1377Contig1	HCGP-FT-CO_00328
CL1378Contig1	HCGP-FT-CO_00329
CL1379Contig1	HCGP-FT-CO_00330
CL137Contig1	HCGP-FT-CO_00331
CL1380Contig1	HCGP-FT-CO_00332
CL1381Contig1	HCGP-FT-CO_00333
CL1382Contig1	HCGP-FT-CO_00334
CL1383Contig1	HCGP-FT-CO_00335
CL1385Contig1	HCGP-FT-CO_00336
CL1386Contig1	HCGP-FT-CO_00337
CL1387Contig1	HCGP-FT-CO_00338
CL1388Contig1	HCGP-FT-CO_00339
CL1389Contig1	HCGP-FT-CO_00340
CL138Contig1	HCGP-FT-CO_00341
CL1390Contig1	HCGP-FT-CO_00342
CL1391Contig1	HCGP-FT-CO_00343
CL1392Contig1	HCGP-FT-CO_00344
CL1393Contig1	HCGP-FT-CO_00345
CL1394Contig1	HCGP-FT-CO_00346
CL1395Contig1	HCGP-FT-CO_00347
CL1396Contig1	HCGP-FT-CO_00348
CL1397Contig1	HCGP-FT-CO_00349
CL1398Contig1	HCGP-FT-CO_00350
CL1399Contig1	HCGP-FT-CO_00351
CL139Contig1	HCGP-FT-CO_00352
CL13Contig1	HCGP-FT-CO_00353
CL13Contig2	HCGP-FT-CO_00354
CL13Contig3	HCGP-FT-CO_00355
CL13Contig4	HCGP-FT-CO_00356
CL13Contig5	HCGP-FT-CO_00357
CL1400Contig1	HCGP-FT-CO_00358
CL1401Contig1	HCGP-FT-CO_00359
CL1402Contig1	HCGP-FT-CO_00360
CL1404Contig1	HCGP-FT-CO_00361
CL1405Contig1	HCGP-FT-CO_00362
CL1406Contig1	HCGP-FT-CO_00363
CL1407Contig1	HCGP-FT-CO_00364
CL1408Contig1	HCGP-FT-CO_00365
CL1409Contig1	HCGP-FT-CO_00366
CL140Contig1	HCGP-FT-CO_00367
CL1410Contig1	HCGP-FT-CO_00368
CL1411Contig1	HCGP-FT-CO_00369
CL1412Contig1	HCGP-FT-CO_00370
CL1413Contig1	HCGP-FT-CO_00371
CL1414Contig1	HCGP-FT-CO_00372
CL1415Contig1	HCGP-FT-CO_00373
CL1416Contig1	HCGP-FT-CO_00374
CL1418Contig1	HCGP-FT-CO_00375
CL1419Contig1	HCGP-FT-CO_00376
CL141Contig1	HCGP-FT-CO_00377
CL1420Contig1	HCGP-FT-CO_00378
CL1421Contig1	HCGP-FT-CO_00379
CL1422Contig1	HCGP-FT-CO_00380
CL1423Contig1	HCGP-FT-CO_00381
CL1424Contig1	HCGP-FT-CO_00382
CL1425Contig1	HCGP-FT-CO_00383
CL1426Contig1	HCGP-FT-CO_00384
CL1427Contig1	HCGP-FT-CO_00385
CL1428Contig1	HCGP-FT-CO_00386
CL1429Contig1	HCGP-FT-CO_00387
CL142Contig1	HCGP-FT-CO_00388
CL1430Contig1	HCGP-FT-CO_00389
CL1431Contig1	HCGP-FT-CO_00390
CL1432Contig1	HCGP-FT-CO_00391
CL1433Contig1	HCGP-FT-CO_00392
CL1434Contig1	HCGP-FT-CO_00393
CL1435Contig1	HCGP-FT-CO_00394
CL1436Contig1	HCGP-FT-CO_00395
CL1437Contig1	HCGP-FT-CO_00396
CL1438Contig1	HCGP-FT-CO_00397
CL1439Contig1	HCGP-FT-CO_00398
CL143Contig1	HCGP-FT-CO_00399
CL1440Contig1	HCGP-FT-CO_00400
CL1441Contig1	HCGP-FT-CO_00401
CL1442Contig1	HCGP-FT-CO_00402
CL1443Contig1	HCGP-FT-CO_00403
CL1444Contig1	HCGP-FT-CO_00404
CL1445Contig1	HCGP-FT-CO_00405
CL1446Contig1	HCGP-FT-CO_00406
CL1447Contig1	HCGP-FT-CO_00407
CL1448Contig1	HCGP-FT-CO_00408
CL1449Contig1	HCGP-FT-CO_00409
CL144Contig1	HCGP-FT-CO_00410
CL1450Contig1	HCGP-FT-CO_00411
CL1451Contig1	HCGP-FT-CO_00412
CL1452Contig1	HCGP-FT-CO_00413
CL1453Contig1	HCGP-FT-CO_00414
CL1454Contig1	HCGP-FT-CO_00415
CL1455Contig1	HCGP-FT-CO_00416
CL1456Contig1	HCGP-FT-CO_00417
CL1457Contig1	HCGP-FT-CO_00418
CL1459Contig1	HCGP-FT-CO_00419
CL145Contig1	HCGP-FT-CO_00420
CL1460Contig1	HCGP-FT-CO_00421
CL1461Contig1	HCGP-FT-CO_00422
CL1462Contig1	HCGP-FT-CO_00423
CL1463Contig1	HCGP-FT-CO_00424
CL1465Contig1	HCGP-FT-CO_00425
CL1466Contig1	HCGP-FT-CO_00426
CL1467Contig1	HCGP-FT-CO_00427
CL1468Contig1	HCGP-FT-CO_00428
CL146Contig1	HCGP-FT-CO_00429
CL1470Contig1	HCGP-FT-CO_00430
CL1471Contig1	HCGP-FT-CO_00431
CL1472Contig1	HCGP-FT-CO_00432
CL1473Contig1	HCGP-FT-CO_00433
CL1474Contig1	HCGP-FT-CO_00434
CL1475Contig1	HCGP-FT-CO_00435
CL1476Contig1	HCGP-FT-CO_00436
CL1477Contig1	HCGP-FT-CO_00437
CL1478Contig1	HCGP-FT-CO_00438
CL1479Contig1	HCGP-FT-CO_00439
CL147Contig1	HCGP-FT-CO_00440
CL1480Contig1	HCGP-FT-CO_00441
CL1481Contig1	HCGP-FT-CO_00442
CL1482Contig1	HCGP-FT-CO_00443
CL1483Contig1	HCGP-FT-CO_00444
CL1484Contig1	HCGP-FT-CO_00445
CL1485Contig1	HCGP-FT-CO_00446
CL1486Contig1	HCGP-FT-CO_00447
CL1487Contig1	HCGP-FT-CO_00448
CL1488Contig1	HCGP-FT-CO_00449
CL1489Contig1	HCGP-FT-CO_00450
CL148Contig1	HCGP-FT-CO_00451
CL1490Contig1	HCGP-FT-CO_00452
CL1491Contig1	HCGP-FT-CO_00453
CL1492Contig1	HCGP-FT-CO_00454
CL1493Contig1	HCGP-FT-CO_00455
CL1494Contig1	HCGP-FT-CO_00456
CL1495Contig1	HCGP-FT-CO_00457
CL1496Contig1	HCGP-FT-CO_00458
CL1497Contig1	HCGP-FT-CO_00459
CL1498Contig1	HCGP-FT-CO_00460
CL1499Contig1	HCGP-FT-CO_00461
CL149Contig1	HCGP-FT-CO_00462
CL14Contig1	HCGP-FT-CO_00463
CL1500Contig1	HCGP-FT-CO_00464
CL1501Contig1	HCGP-FT-CO_00465
CL1503Contig1	HCGP-FT-CO_00466
CL1504Contig1	HCGP-FT-CO_00467
CL1506Contig1	HCGP-FT-CO_00468
CL1507Contig1	HCGP-FT-CO_00469
CL1508Contig1	HCGP-FT-CO_00470
CL1509Contig1	HCGP-FT-CO_00471
CL150Contig1	HCGP-FT-CO_00472
CL1510Contig1	HCGP-FT-CO_00473
CL1511Contig1	HCGP-FT-CO_00474
CL1512Contig1	HCGP-FT-CO_00475
CL1513Contig1	HCGP-FT-CO_00476
CL1514Contig1	HCGP-FT-CO_00477
CL1515Contig1	HCGP-FT-CO_00478
CL1516Contig1	HCGP-FT-CO_00479
CL1517Contig1	HCGP-FT-CO_00480
CL1518Contig1	HCGP-FT-CO_00481
CL1519Contig1	HCGP-FT-CO_00482
CL151Contig1	HCGP-FT-CO_00483
CL1520Contig1	HCGP-FT-CO_00484
CL1521Contig1	HCGP-FT-CO_00485
CL1522Contig1	HCGP-FT-CO_00486
CL1523Contig1	HCGP-FT-CO_00487
CL1524Contig1	HCGP-FT-CO_00488
CL1525Contig1	HCGP-FT-CO_00489
CL1526Contig1	HCGP-FT-CO_00490
CL1527Contig1	HCGP-FT-CO_00491
CL1528Contig1	HCGP-FT-CO_00492
CL1529Contig1	HCGP-FT-CO_00493
CL152Contig1	HCGP-FT-CO_00494
CL152Contig2	HCGP-FT-CO_00495
CL1530Contig1	HCGP-FT-CO_00496
CL1531Contig1	HCGP-FT-CO_00497
CL1533Contig1	HCGP-FT-CO_00498
CL1534Contig1	HCGP-FT-CO_00499
CL1535Contig1	HCGP-FT-CO_00500
CL1536Contig1	HCGP-FT-CO_00501
CL1537Contig1	HCGP-FT-CO_00502
CL1538Contig1	HCGP-FT-CO_00503
CL1539Contig1	HCGP-FT-CO_00504
CL153Contig1	HCGP-FT-CO_00505
